Gene,logFC,PValue,FDR,cKO_1,cKO_2,cKO_3,cKO_4,cKO_5,FL_1,FL_2,FL_3,FL_4
Gm33707,2.460230852,2.22E-36,1.01E-32,7.500069962,7.561155981,6.944211782,7.775699073,7.780243323,5.491007067,5.702805913,5.491007067,5.491007067
Muc13,1.606816192,3.44E-21,9.37E-18,10.63645109,10.48345197,9.918705905,10.70509929,9.797210605,8.49348338,8.081409051,8.552410655,8.703987603
Cxcr4,1.326513779,2.37E-39,3.23E-35,10.38764364,10.48241818,10.48930359,10.52333323,10.32906423,9.078290968,9.378612935,9.148227705,8.988520174
Dleu2,1.312211521,7.62E-33,2.59E-29,11.88977877,11.70210621,11.45080493,11.8957656,11.75338368,10.14899156,10.44658063,10.4330733,10.43871629
Epha2,1.260384992,9.61E-11,3.63E-08,7.515764178,7.044340574,7.344941511,6.947586122,6.845659514,6.467291762,6.121934527,6.238147596,6.108906869
Mcam,1.253514718,1.75E-13,1.40E-10,8.320731855,8.309036025,8.243310094,7.876698581,7.786579154,7.320181889,7.06713546,7.059258996,6.849773816
Itga7,1.253471119,4.74E-11,1.99E-08,8.482153073,8.070828256,8.361376191,7.588049948,7.544344709,7.014768489,6.567394626,6.853275403,6.938666692
Ano3,1.187123919,NA,NA,7.683718195,7.856874609,7.83234788,7.68147836,7.481988435,7.052907531,6.902711578,6.741759655,6.4336897
Shisa2,1.159267372,1.28E-10,4.58E-08,7.135820852,7.005686575,7.274863397,7.299323384,7.07962885,6.203875162,6.466627394,6.61633355,6.480291965
Cox6b2,1.093342425,1.03E-14,1.17E-11,8.950922067,9.363128307,9.081963492,8.927204807,9.253883618,8.163065075,8.027156854,7.833247308,8.342276991
Epcam,1.074843126,3.34E-15,4.13E-12,8.078086308,8.200235997,8.310662052,8.103055563,8.463990037,7.4705243,7.310843949,7.347266463,7.494227835
Ccnd3,1.065109338,2.00E-38,1.36E-34,14.57312401,14.69276506,14.48732386,14.71847092,14.66505077,13.64216678,13.38562279,13.45378837,13.58057339
Tnfsf9,1.033806059,1.18E-12,7.64E-10,9.37541199,9.582225782,9.538104969,9.106994562,8.925847567,8.307653928,8.183851864,8.259189888,8.494944911
Dpysl5,1.026500763,1.58E-07,2.45E-05,6.467013222,6.595290151,6.64569898,6.466870231,6.379834956,5.86603239,6.121934527,5.925560861,5.871189572
Nynrin,1.013112947,NA,NA,6.599587654,6.469953017,6.858814022,6.591846604,6.666139738,5.79750013,6.2176536,6.103279532,5.980885137
Tgm1,0.99251105,5.18E-12,2.81E-09,8.026065844,7.802794049,8.119595538,8.124830272,7.952778496,7.461637195,7.101919385,7.255178235,7.226272151
Pid1,0.984287653,3.70E-07,4.88E-05,6.819411648,6.705664697,6.549548142,6.961218959,7.034270983,6.293068213,6.301343128,6.267952019,6.027133166
Nt5dc2,0.981694273,2.49E-11,1.17E-08,9.928802662,9.589944257,10.07344357,9.711966043,9.639638125,9.134654519,8.584045686,8.814844522,8.490685122
Cd200r1,0.97626872,2.55E-17,3.86E-14,8.482153073,8.453452981,8.535629413,8.484169228,8.413010241,7.712029835,7.837318175,7.50454752,7.737766043
Syde1,0.968633608,6.07E-07,7.30E-05,6.651011549,6.322764394,6.782026449,6.466870231,6.525002511,6.136990458,5.702805913,5.86769505,5.980885137
Pcsk1,0.96139465,NA,NA,6.976638932,6.880980099,6.984539932,6.847071936,6.872771603,6.372486226,6.301343128,6.02223266,6.566593992
Nrbp2,0.957354123,1.07E-07,1.73E-05,6.988777464,6.909942368,7.254080676,6.987993208,7.123272885,6.592317481,6.50832864,6.536446292,6.27502863
Ahnak2,0.952051635,1.14E-06,1.21E-04,6.91387054,6.670258323,7.023465455,6.572187673,6.580478645,6.293068213,5.913474195,6.206989995,6.180550254
Pde2a,0.939517758,1.63E-15,2.21E-12,8.577881496,8.552729515,8.474371666,8.504847233,8.520589895,7.682306913,7.805071882,7.968281703,7.597190969
Phf19,0.931424366,1.70E-20,3.85E-17,11.69154462,11.86433633,11.60090319,11.98505539,11.89816831,10.78094232,10.94171127,10.94460864,10.70730387
Nbea,0.92784206,1.97E-06,1.84E-04,6.467013222,6.670258323,6.589210322,6.736003471,6.445148498,5.974264508,6.086369202,6.206989995,6.069543045
Myo6,0.922317374,1.91E-07,2.82E-05,8.917746641,8.980018217,8.820404796,9.78554936,9.730885013,8.472616524,8.076079968,8.213938897,8.233727755
