Gene,Location,miR,Targetscan,Sum
Pkhd1l1,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Zfp810,Not_3UTR,mmu-let-7a-2-3p,FALSE,2
Ifi205,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Csl,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Abhd12,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Ccdc33,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Cacna2d2,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Vmn1r48,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Tmprss11d,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Drosha,Not_3UTR,mmu-let-7a-2-3p,FALSE,14
1110028F18Rik,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Pdcd11,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Pbp2,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Atxn7l2,Not_3UTR,mmu-let-7a-2-3p,FALSE,1
Cdkl5,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Atp9a,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Klhl41,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Cog6,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Anks4b,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Enthd1,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Amy2b,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Anapc1,Not_3UTR,mmu-let-7a-2-3p,FALSE,1
Abhd2,Not_3UTR,mmu-let-7a-2-3p,FALSE,3
Mettl22,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Trmu,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
C3,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Bmp7,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
4932429P05Rik,Not_3UTR,mmu-let-7a-2-3p,FALSE,0
Hist1h2bf,Not_3UTR,mmu-let-7a-2-3p,FALSE,29
