Gene,Location,miR,Targetscan,Sum
Als2cl,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Gm20939,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Zp3r,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Flnb,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Alms1-ps2,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Mettl4,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
1500015L24Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Lrfn5,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
C8a,Not_3UTR,mmu-let-7c-1-3p,FALSE,1
Gsdmcl1,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Parp8,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Hdac11,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Gins2,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Muc19,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Cpt1a,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Car11,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Slc18a3,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Ceacam20,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
4930430F08Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,2
Arhgap11a,Not_3UTR,mmu-let-7c-1-3p,FALSE,21
Cep126,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Zfp668,Not_3UTR,mmu-let-7c-1-3p,FALSE,29
Ap4b1,Not_3UTR,mmu-let-7c-1-3p,FALSE,1
4930480E11Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Atp13a2,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
1700003M07Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Tcp11x2,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Col1a1,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Sult4a1,Not_3UTR,mmu-let-7c-1-3p,FALSE,2
Ap1g2,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Mafa,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
2610020C07Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
4930429F24Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Ankrd34c,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Fmo6,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Krtap19-3,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Olfr961,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Cr2,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
1600015I10Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Kcnu1,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Birc3,Not_3UTR,mmu-let-7c-1-3p,FALSE,5
Nlrp9c,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Olfr1216,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Brd8,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Chka,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Ccdc170,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Ggnbp1,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Pcgf1,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
1700096K18Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Apob,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Mrgpra9,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
1700023F06Rik,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Szt2,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
Mageb5,Not_3UTR,mmu-let-7c-1-3p,FALSE,0
