Gene,Location,miR,Targetscan,Sum
Tmpo,Not_3UTR,mmu-let-7d-3p,FALSE,56
Jag1,Not_3UTR,mmu-let-7d-3p,FALSE,1
Herpud2,Not_3UTR,mmu-let-7d-3p,FALSE,4
Ankrd12,Not_3UTR,mmu-let-7d-3p,FALSE,3
Cops2,Not_3UTR,mmu-let-7d-3p,FALSE,0
H2-T9,Not_3UTR,mmu-let-7d-3p,FALSE,18
Ipo11,Not_3UTR,mmu-let-7d-3p,FALSE,0
Reg3g,Not_3UTR,mmu-let-7d-3p,FALSE,0
4930526I15Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Aoc3,Not_3UTR,mmu-let-7d-3p,FALSE,0
Ap5m1,Not_3UTR,mmu-let-7d-3p,FALSE,0
1700018F24Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
2900052N01Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Btla,Not_3UTR,mmu-let-7d-3p,FALSE,47
Atp11b,Not_3UTR,mmu-let-7d-3p,FALSE,7
Crmp1,Not_3UTR,mmu-let-7d-3p,FALSE,0
A930012L18Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
A530088E08Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Dsp,Not_3UTR,mmu-let-7d-3p,FALSE,0
4931403G20Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
4932411N23Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
4933433G15Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
4933400C23Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Sirt6,Not_3UTR,mmu-let-7d-3p,FALSE,1
5730416F02Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
9530091C08Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Cabyr,Not_3UTR,mmu-let-7d-3p,FALSE,0
Man2a1,Not_3UTR,mmu-let-7d-3p,FALSE,0
A730082K24Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Gm364,Not_3UTR,mmu-let-7d-3p,FALSE,0
Zfp560,Not_3UTR,mmu-let-7d-3p,FALSE,0
Abcg1,Not_3UTR,mmu-let-7d-3p,FALSE,9
Gm5088,Not_3UTR,mmu-let-7d-3p,FALSE,0
Wdr63,Not_3UTR,mmu-let-7d-3p,FALSE,0
Adamts12,Not_3UTR,mmu-let-7d-3p,FALSE,0
Nsd3,Not_3UTR,mmu-let-7d-3p,FALSE,0
4732491K20Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Mmadhc,Not_3UTR,mmu-let-7d-3p,FALSE,0
LOC105245869,Not_3UTR,mmu-let-7d-3p,FALSE,0
Agpat5,Not_3UTR,mmu-let-7d-3p,FALSE,7
4930442J19Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Zcchc2,Not_3UTR,mmu-let-7d-3p,FALSE,0
AI314180,Not_3UTR,mmu-let-7d-3p,FALSE,3
Adgrb3,Not_3UTR,mmu-let-7d-3p,FALSE,0
Zfp944,Not_3UTR,mmu-let-7d-3p,FALSE,0
Vpreb1,Not_3UTR,mmu-let-7d-3p,FALSE,0
Adamts6,Not_3UTR,mmu-let-7d-3p,FALSE,0
Usp4,Not_3UTR,mmu-let-7d-3p,FALSE,0
Pip5k1c,Not_3UTR,mmu-let-7d-3p,FALSE,0
Atp10b,Not_3UTR,mmu-let-7d-3p,FALSE,0
Bmp2k,Not_3UTR,mmu-let-7d-3p,FALSE,2
Mamdc4,Not_3UTR,mmu-let-7d-3p,FALSE,0
Aqr,Not_3UTR,mmu-let-7d-3p,FALSE,0
Zfp319,Not_3UTR,mmu-let-7d-3p,FALSE,0
Erich6,Not_3UTR,mmu-let-7d-3p,FALSE,0
Art4,Not_3UTR,mmu-let-7d-3p,FALSE,0
Ass1,Not_3UTR,mmu-let-7d-3p,FALSE,6
Clk3,Not_3UTR,mmu-let-7d-3p,FALSE,0
Eif2ak2,Not_3UTR,mmu-let-7d-3p,FALSE,0
Cdk9,Not_3UTR,mmu-let-7d-3p,FALSE,0
Gyg,Not_3UTR,mmu-let-7d-3p,FALSE,20
Kctd12b,Not_3UTR,mmu-let-7d-3p,FALSE,0
Adamts3,Not_3UTR,mmu-let-7d-3p,FALSE,0
Acot6,Not_3UTR,mmu-let-7d-3p,FALSE,0
I730028E13Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
4933427D14Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
Bmp4,Not_3UTR,mmu-let-7d-3p,FALSE,0
Bpifb9a,Not_3UTR,mmu-let-7d-3p,FALSE,0
4930478L05Rik,Not_3UTR,mmu-let-7d-3p,FALSE,0
