Gene,Location,miR,Targetscan,Sum
Adam9,Not_3UTR,mmu-let-7e-3p,FALSE,0
Rdh14,Not_3UTR,mmu-let-7e-3p,FALSE,1
Dhx8,Not_3UTR,mmu-let-7e-3p,FALSE,0
Gucy2f,Not_3UTR,mmu-let-7e-3p,FALSE,0
Ceacam5,Not_3UTR,mmu-let-7e-3p,FALSE,0
Hoxa1,Not_3UTR,mmu-let-7e-3p,FALSE,0
4931403G20Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
1700017N19Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
C330018D20Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
Calm1,Not_3UTR,mmu-let-7e-3p,FALSE,0
4930526I15Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
Itga3,Not_3UTR,mmu-let-7e-3p,FALSE,0
Adamts3,Not_3UTR,mmu-let-7e-3p,FALSE,0
4932438A13Rik,Not_3UTR,mmu-let-7e-3p,FALSE,2
4933400C23Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
2310002L09Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
5730416F02Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
March6,Not_3UTR,mmu-let-7e-3p,FALSE,1
Lipt2,Not_3UTR,mmu-let-7e-3p,FALSE,0
2310001K24Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
Ddx25,Not_3UTR,mmu-let-7e-3p,FALSE,0
Ap5m1,Not_3UTR,mmu-let-7e-3p,FALSE,0
Prelid1,Not_3UTR,mmu-let-7e-3p,FALSE,31
1700018F24Rik,Not_3UTR,mmu-let-7e-3p,FALSE,0
Clp1,Not_3UTR,mmu-let-7e-3p,FALSE,0
Acad11,Not_3UTR,mmu-let-7e-3p,FALSE,0
Tmem258,Not_3UTR,mmu-let-7e-3p,FALSE,1
Adamts6,Not_3UTR,mmu-let-7e-3p,FALSE,0
Aebp1,Not_3UTR,mmu-let-7e-3p,FALSE,0
Ago3,Not_3UTR,mmu-let-7e-3p,FALSE,0
Bpifb9a,Not_3UTR,mmu-let-7e-3p,FALSE,0
Trmu,Not_3UTR,mmu-let-7e-3p,FALSE,12
Ulk4,Not_3UTR,mmu-let-7e-3p,FALSE,0
Kdm5b,Not_3UTR,mmu-let-7e-3p,FALSE,7
Hpf1,Not_3UTR,mmu-let-7e-3p,FALSE,4
