Gene,Location,miR,Targetscan,Sum
4930522H14Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
4930550L24Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Bpifb9b,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
D030068K23Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Gpr12,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Vmn2r8,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Taar4,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Aldh1a2,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Olfr1213,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Atp6v1e1,Not_3UTR,mmu-let-7f-2-3p,FALSE,2
Lrp4,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Mfsd4b1,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Aar2,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Fancm,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Adam6b,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Amy2a2,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Tmem150cos,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Phldb2,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Gm11237,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Adgb,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Lipo1,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Timm23,Not_3UTR,mmu-let-7f-2-3p,FALSE,3
Ddx28,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Fam206a,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
3110039I08Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Per3,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
1500026H17Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Gcm2,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Mkrn2os,Not_3UTR,mmu-let-7f-2-3p,FALSE,4
1700073E17Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Gdi2,Not_3UTR,mmu-let-7f-2-3p,FALSE,7
Ppox,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Adamtsl4,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
1700034J05Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
1700047A11Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Ccdc58,Not_3UTR,mmu-let-7f-2-3p,FALSE,45
Slc25a29,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
1700094M24Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Cmtr1,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Armcx1,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Nudt14,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
1700028D13Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Themis,Not_3UTR,mmu-let-7f-2-3p,FALSE,2
Nav3,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Capn6,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Cyp2b9,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Tmeff1,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
A730046J19Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
Mos,Not_3UTR,mmu-let-7f-2-3p,FALSE,0
2810403D21Rik,Not_3UTR,mmu-let-7f-2-3p,FALSE,3
