Gene,Location,miR,Targetscan,Sum
Espnl,Not_3UTR,mmu-let-7g-3p,FALSE,0
Cyhr1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Bfsp1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ahr,Not_3UTR,mmu-let-7g-3p,FALSE,6
B230214G05Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ccdc102a,Not_3UTR,mmu-let-7g-3p,FALSE,0
Zbed4,Not_3UTR,mmu-let-7g-3p,FALSE,1
Peg3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Atp6ap1l,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ncoa5,Not_3UTR,mmu-let-7g-3p,FALSE,0
Mrpl30,Not_3UTR,mmu-let-7g-3p,FALSE,1
Crlf3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Abcc10,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ipcef1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Agps,Not_3UTR,mmu-let-7g-3p,FALSE,0
Abca8b,Not_3UTR,mmu-let-7g-3p,FALSE,0
Lig3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Senp7,Not_3UTR,mmu-let-7g-3p,FALSE,0
Alpk2,Not_3UTR,mmu-let-7g-3p,FALSE,0
Klc3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Csk,Not_3UTR,mmu-let-7g-3p,FALSE,11
Ctnnal1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Phb,Not_3UTR,mmu-let-7g-3p,FALSE,0
5730508B09Rik,Not_3UTR,mmu-let-7g-3p,FALSE,20
Atp2a3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Slc9b2,Not_3UTR,mmu-let-7g-3p,FALSE,0
4933404K08Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
A330102I10Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Pgbd5,Not_3UTR,mmu-let-7g-3p,FALSE,0
Itgav,Not_3UTR,mmu-let-7g-3p,FALSE,0
Gm29685,Not_3UTR,mmu-let-7g-3p,FALSE,0
B230112J18Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Alpk3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Klhl40,Not_3UTR,mmu-let-7g-3p,FALSE,0
Krt13,Not_3UTR,mmu-let-7g-3p,FALSE,0
2010300C02Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Dnah7b,Not_3UTR,mmu-let-7g-3p,FALSE,1
Btbd6,Not_3UTR,mmu-let-7g-3p,FALSE,1
Clpx,Not_3UTR,mmu-let-7g-3p,FALSE,0
Kng1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Brip1os,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ccdc163,Not_3UTR,mmu-let-7g-3p,FALSE,0
4930478P22Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Vrk2,Not_3UTR,mmu-let-7g-3p,FALSE,19
Cep290,Not_3UTR,mmu-let-7g-3p,FALSE,0
Edem3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Mettl22,Not_3UTR,mmu-let-7g-3p,FALSE,7
1700017L05Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Parg,Not_3UTR,mmu-let-7g-3p,FALSE,0
Msantd2,Not_3UTR,mmu-let-7g-3p,FALSE,0
Crot,Not_3UTR,mmu-let-7g-3p,FALSE,0
Gsap,Not_3UTR,mmu-let-7g-3p,FALSE,0
Gpr75,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ppp1r2-ps7,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ffar2,Not_3UTR,mmu-let-7g-3p,FALSE,0
Gm20139,Not_3UTR,mmu-let-7g-3p,FALSE,0
Itga3,Not_3UTR,mmu-let-7g-3p,FALSE,0
8430436N08Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Pcdhb6,Not_3UTR,mmu-let-7g-3p,FALSE,0
Gm16223,Not_3UTR,mmu-let-7g-3p,FALSE,0
Nme8,Not_3UTR,mmu-let-7g-3p,FALSE,0
Dnaaf1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Dennd1a,Not_3UTR,mmu-let-7g-3p,FALSE,0
Rxrb,Not_3UTR,mmu-let-7g-3p,FALSE,1
Gm45927,Not_3UTR,mmu-let-7g-3p,FALSE,3
Sycp1-ps1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Mid1,Not_3UTR,mmu-let-7g-3p,FALSE,0
4933416M06Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ighmbp2,Not_3UTR,mmu-let-7g-3p,FALSE,0
6330409D20Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Zfp169,Not_3UTR,mmu-let-7g-3p,FALSE,0
Dync1h1,Not_3UTR,mmu-let-7g-3p,FALSE,3
2210404E10Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Abhd3,Not_3UTR,mmu-let-7g-3p,FALSE,0
Il4i1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Dpp6,Not_3UTR,mmu-let-7g-3p,FALSE,0
Jrk,Not_3UTR,mmu-let-7g-3p,FALSE,0
Hmox2,Not_3UTR,mmu-let-7g-3p,FALSE,0
Prox1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Dmxl1,Not_3UTR,mmu-let-7g-3p,FALSE,2
Atpaf1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Cdc34,Not_3UTR,mmu-let-7g-3p,FALSE,15
Ap1b1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Gm8765,Not_3UTR,mmu-let-7g-3p,FALSE,0
1700012A03Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ykt6,Not_3UTR,mmu-let-7g-3p,FALSE,1
Duxbl1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ccrl2,Not_3UTR,mmu-let-7g-3p,FALSE,0
2810032G03Rik,Not_3UTR,mmu-let-7g-3p,FALSE,0
Ubr3,Not_3UTR,mmu-let-7g-3p,FALSE,9
A4gnt,Not_3UTR,mmu-let-7g-3p,FALSE,0
Gm9992,Not_3UTR,mmu-let-7g-3p,FALSE,0
Mtus1,Not_3UTR,mmu-let-7g-3p,FALSE,0
Grsf1,Not_3UTR,mmu-let-7g-3p,FALSE,3
Arrdc2,Not_3UTR,mmu-let-7g-3p,FALSE,3
Nlrp4a,Not_3UTR,mmu-let-7g-3p,FALSE,0
