Gene,Location,miR,Targetscan,Sum
9130008F23Rik,Not_3UTR,mmu-let-7i-3p,FALSE,0
Map3k15,Not_3UTR,mmu-let-7i-3p,FALSE,0
Atp2b4,Not_3UTR,mmu-let-7i-3p,FALSE,0
Mdga2,Not_3UTR,mmu-let-7i-3p,FALSE,0
Lmx1b,Not_3UTR,mmu-let-7i-3p,FALSE,0
Myo5a,Not_3UTR,mmu-let-7i-3p,FALSE,1
C2,Not_3UTR,mmu-let-7i-3p,FALSE,0
Hmgxb3,Not_3UTR,mmu-let-7i-3p,FALSE,0
Vstm2l,Not_3UTR,mmu-let-7i-3p,FALSE,0
Wwp2,Not_3UTR,mmu-let-7i-3p,FALSE,0
Anks1,Not_3UTR,mmu-let-7i-3p,FALSE,0
Garem1,Not_3UTR,mmu-let-7i-3p,FALSE,0
Nlrp4a,Not_3UTR,mmu-let-7i-3p,FALSE,0
Psph,Not_3UTR,mmu-let-7i-3p,FALSE,0
Lss,Not_3UTR,mmu-let-7i-3p,FALSE,0
Adam20,Not_3UTR,mmu-let-7i-3p,FALSE,0
Ccdc183,Not_3UTR,mmu-let-7i-3p,FALSE,0
Tjp3,Not_3UTR,mmu-let-7i-3p,FALSE,0
2810001G20Rik,Not_3UTR,mmu-let-7i-3p,FALSE,0
Acod1,Not_3UTR,mmu-let-7i-3p,FALSE,0
Gm6756,Not_3UTR,mmu-let-7i-3p,FALSE,0
Capn5,Not_3UTR,mmu-let-7i-3p,FALSE,0
Dnah1,Not_3UTR,mmu-let-7i-3p,FALSE,0
Bola1,Not_3UTR,mmu-let-7i-3p,FALSE,0
Cep152,Not_3UTR,mmu-let-7i-3p,FALSE,0
Atrx,Not_3UTR,mmu-let-7i-3p,FALSE,13
Alx4,Not_3UTR,mmu-let-7i-3p,FALSE,0
Agap2,Not_3UTR,mmu-let-7i-3p,FALSE,2
4833423E24Rik,Not_3UTR,mmu-let-7i-3p,FALSE,0
Bhlhe40,Not_3UTR,mmu-let-7i-3p,FALSE,0
1700071K01Rik,Not_3UTR,mmu-let-7i-3p,FALSE,0
Npb,Not_3UTR,mmu-let-7i-3p,FALSE,0
Zfp92,Not_3UTR,mmu-let-7i-3p,FALSE,1
