Gene,Location,miR,Targetscan,Sum
Vwf,Not_3UTR,mmu-let-7j,FALSE,0
Chst11,Not_3UTR,mmu-let-7j,FALSE,0
Lama3,Not_3UTR,mmu-let-7j,FALSE,0
Erbb3,Not_3UTR,mmu-let-7j,FALSE,0
Olfr1346,Not_3UTR,mmu-let-7j,FALSE,0
Vmn2r6,Not_3UTR,mmu-let-7j,FALSE,0
H2-M2,Not_3UTR,mmu-let-7j,FALSE,0
A730082K24Rik,Not_3UTR,mmu-let-7j,FALSE,0
4932413F04Rik,Not_3UTR,mmu-let-7j,FALSE,0
Micalcl,Not_3UTR,mmu-let-7j,FALSE,0
Gm20815,Not_3UTR,mmu-let-7j,FALSE,0
Amz1,Not_3UTR,mmu-let-7j,FALSE,0
Fndc1,Not_3UTR,mmu-let-7j,FALSE,0
Dopey2,Not_3UTR,mmu-let-7j,FALSE,0
Ash1l,Not_3UTR,mmu-let-7j,FALSE,265
9530091C08Rik,Not_3UTR,mmu-let-7j,FALSE,0
2310035C23Rik,Not_3UTR,mmu-let-7j,FALSE,1
Zfp46,Not_3UTR,mmu-let-7j,FALSE,0
Dock8,Not_3UTR,mmu-let-7j,FALSE,24
Hdc,Not_3UTR,mmu-let-7j,FALSE,0
Cypt10,Not_3UTR,mmu-let-7j,FALSE,0
Hadh,Not_3UTR,mmu-let-7j,FALSE,0
P3h1,Not_3UTR,mmu-let-7j,FALSE,0
Tnc,Not_3UTR,mmu-let-7j,FALSE,0
Lctl,Not_3UTR,mmu-let-7j,FALSE,0
Ddx54,Not_3UTR,mmu-let-7j,FALSE,27
Adgrd1,Not_3UTR,mmu-let-7j,FALSE,1
1700061G19Rik,Not_3UTR,mmu-let-7j,FALSE,0
Aknad1,Not_3UTR,mmu-let-7j,FALSE,0
Hivep1,Not_3UTR,mmu-let-7j,FALSE,0
1810065E05Rik,Not_3UTR,mmu-let-7j,FALSE,0
Wdr64,Not_3UTR,mmu-let-7j,FALSE,0
Itga7,Not_3UTR,mmu-let-7j,FALSE,0
Tomm6os,Not_3UTR,mmu-let-7j,FALSE,0
Olfr1373,Not_3UTR,mmu-let-7j,FALSE,0
Vmn1r4,Not_3UTR,mmu-let-7j,FALSE,0
Lrrn4,Not_3UTR,mmu-let-7j,FALSE,0
Aaas,Not_3UTR,mmu-let-7j,FALSE,1
Poc1a,Not_3UTR,mmu-let-7j,FALSE,12
Dcp2,Not_3UTR,mmu-let-7j,FALSE,47
Coq10b,Not_3UTR,mmu-let-7j,FALSE,1
AU022793,Not_3UTR,mmu-let-7j,FALSE,0
2610008E11Rik,Not_3UTR,mmu-let-7j,FALSE,0
Gm5662,Not_3UTR,mmu-let-7j,FALSE,0
C1s2,Not_3UTR,mmu-let-7j,FALSE,0
1300002E11Rik,Not_3UTR,mmu-let-7j,FALSE,0
1810041L15Rik,Not_3UTR,mmu-let-7j,FALSE,0
Epha2,Not_3UTR,mmu-let-7j,FALSE,4
1700001J11Rik,Not_3UTR,mmu-let-7j,FALSE,0
Atxn3,Not_3UTR,mmu-let-7j,FALSE,1
Zfp287,Not_3UTR,mmu-let-7j,FALSE,0
1700013G24Rik,Not_3UTR,mmu-let-7j,FALSE,0
1700022A21Rik,Not_3UTR,mmu-let-7j,FALSE,0
1700029H14Rik,Not_3UTR,mmu-let-7j,FALSE,0
1700029M20Rik,Not_3UTR,mmu-let-7j,FALSE,0
Mok,Not_3UTR,mmu-let-7j,FALSE,0
Fbxw15,Not_3UTR,mmu-let-7j,FALSE,0
Cyp3a44,Not_3UTR,mmu-let-7j,FALSE,0
Aox4,Not_3UTR,mmu-let-7j,FALSE,0
1700054K19Rik,Not_3UTR,mmu-let-7j,FALSE,10
4933417G07Rik,Not_3UTR,mmu-let-7j,FALSE,0
4732471J01Rik,Not_3UTR,mmu-let-7j,FALSE,0
1700067K01Rik,Not_3UTR,mmu-let-7j,FALSE,0
9430015G10Rik,Not_3UTR,mmu-let-7j,FALSE,5
Klhl32,Not_3UTR,mmu-let-7j,FALSE,0
C1s1,Not_3UTR,mmu-let-7j,FALSE,0
Abcc4,Not_3UTR,mmu-let-7j,FALSE,0
Hccs,Not_3UTR,mmu-let-7j,FALSE,13
Hsd17b3,Not_3UTR,mmu-let-7j,FALSE,0
Bank1,Not_3UTR,mmu-let-7j,FALSE,0
Col6a3,Not_3UTR,mmu-let-7j,FALSE,0
Lrfn5,Not_3UTR,mmu-let-7j,FALSE,0
2810404M03Rik,Not_3UTR,mmu-let-7j,FALSE,0
Dnajb12,Not_3UTR,mmu-let-7j,FALSE,11
4930488B22Rik,Not_3UTR,mmu-let-7j,FALSE,0
Slc9a5,Not_3UTR,mmu-let-7j,FALSE,0
Focad,Not_3UTR,mmu-let-7j,FALSE,0
Cstf2t,Not_3UTR,mmu-let-7j,FALSE,0
4930432K21Rik,Not_3UTR,mmu-let-7j,FALSE,0
Bdp1,Not_3UTR,mmu-let-7j,FALSE,7
Tnfrsf1a,Not_3UTR,mmu-let-7j,FALSE,44
Exosc5,Not_3UTR,mmu-let-7j,FALSE,0
Lclat1,Not_3UTR,mmu-let-7j,FALSE,3
Muc20,Not_3UTR,mmu-let-7j,FALSE,0
3010003L21Rik,Not_3UTR,mmu-let-7j,FALSE,0
Gm5936,Not_3UTR,mmu-let-7j,FALSE,0
Dlg5,Not_3UTR,mmu-let-7j,FALSE,0
2610507B11Rik,Not_3UTR,mmu-let-7j,FALSE,9
Cct6b,Not_3UTR,mmu-let-7j,FALSE,0
D130043K22Rik,Not_3UTR,mmu-let-7j,FALSE,0
Cep350,Not_3UTR,mmu-let-7j,FALSE,0
Cnnm3,Not_3UTR,mmu-let-7j,FALSE,0
Tnfaip1,Not_3UTR,mmu-let-7j,FALSE,17
Abca8b,Not_3UTR,mmu-let-7j,FALSE,0
Myh9,Not_3UTR,mmu-let-7j,FALSE,6
F8,Not_3UTR,mmu-let-7j,FALSE,0
Arsk,Not_3UTR,mmu-let-7j,FALSE,1
9530059O14Rik,Not_3UTR,mmu-let-7j,FALSE,0
Sulf2,Not_3UTR,mmu-let-7j,FALSE,0
Znf41-ps,Not_3UTR,mmu-let-7j,FALSE,1
Map3k4,Not_3UTR,mmu-let-7j,FALSE,59
4930550L24Rik,Not_3UTR,mmu-let-7j,FALSE,0
Dennd4b,Not_3UTR,mmu-let-7j,FALSE,12
Tmed6,Not_3UTR,mmu-let-7j,FALSE,0
Cecr6,Not_3UTR,mmu-let-7j,FALSE,0
Btn1a1,Not_3UTR,mmu-let-7j,FALSE,0
Large1,Not_3UTR,mmu-let-7j,FALSE,0
4933427D14Rik,Not_3UTR,mmu-let-7j,FALSE,0
Kctd3,Not_3UTR,mmu-let-7j,FALSE,0
Gm5615,Not_3UTR,mmu-let-7j,FALSE,0
Hydin,Not_3UTR,mmu-let-7j,FALSE,0
Acad11,Not_3UTR,mmu-let-7j,FALSE,0
Olfr45,Not_3UTR,mmu-let-7j,FALSE,0
Aspm,Not_3UTR,mmu-let-7j,FALSE,0
Akap12,Not_3UTR,mmu-let-7j,FALSE,0
Srcin1,Not_3UTR,mmu-let-7j,FALSE,0
Hmcn1,Not_3UTR,mmu-let-7j,FALSE,0
Zdhhc17,Not_3UTR,mmu-let-7j,FALSE,4
C3,Not_3UTR,mmu-let-7j,FALSE,0
Lpar6,Not_3UTR,mmu-let-7j,FALSE,1
Ada,Not_3UTR,mmu-let-7j,FALSE,0
4930502E18Rik,Not_3UTR,mmu-let-7j,FALSE,0
Vmn2r96,Not_3UTR,mmu-let-7j,FALSE,0
Xpnpep1,Not_3UTR,mmu-let-7j,FALSE,1
Capn12,Not_3UTR,mmu-let-7j,FALSE,0
Slc7a4,Not_3UTR,mmu-let-7j,FALSE,0
Hyou1,Not_3UTR,mmu-let-7j,FALSE,0
4930529C04Rik,Not_3UTR,mmu-let-7j,FALSE,0
6430584L05Rik,Not_3UTR,mmu-let-7j,FALSE,0
Gm20823,Not_3UTR,mmu-let-7j,FALSE,0
Pdp1,Not_3UTR,mmu-let-7j,FALSE,0
Gen1,Not_3UTR,mmu-let-7j,FALSE,19
Adcy10,Not_3UTR,mmu-let-7j,FALSE,0
Mgat5b,Not_3UTR,mmu-let-7j,FALSE,0
