Gene,Location,miR,Targetscan,Sum
Ralgapb,Not_3UTR,mmu-miR-101c,FALSE,0
Cyp2t4,Not_3UTR,mmu-miR-101c,FALSE,0
Krba1,Not_3UTR,mmu-miR-101c,FALSE,0
Olfr678,Not_3UTR,mmu-miR-101c,FALSE,0
Dbt,Not_3UTR,mmu-miR-101c,FALSE,0
Paf1,Not_3UTR,mmu-miR-101c,FALSE,1
4930413F20Rik,Not_3UTR,mmu-miR-101c,FALSE,0
4933425L06Rik,Not_3UTR,mmu-miR-101c,FALSE,0
4930511E03Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Cidea,Not_3UTR,mmu-miR-101c,FALSE,0
Mysm1,Not_3UTR,mmu-miR-101c,FALSE,1
Dsel,Not_3UTR,mmu-miR-101c,FALSE,0
Bscl2,Not_3UTR,mmu-miR-101c,FALSE,10
Gpr34,Not_3UTR,mmu-miR-101c,FALSE,0
A530065N20Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Ccdc186,Not_3UTR,mmu-miR-101c,FALSE,0
Alpk3,Not_3UTR,mmu-miR-101c,FALSE,0
Adam9,Not_3UTR,mmu-miR-101c,FALSE,0
Itga4,Not_3UTR,mmu-miR-101c,FALSE,3
Txndc8,Not_3UTR,mmu-miR-101c,FALSE,0
Olfr609,Not_3UTR,mmu-miR-101c,FALSE,0
Tgtp2,Not_3UTR,mmu-miR-101c,FALSE,18
Adam4,Not_3UTR,mmu-miR-101c,FALSE,2
2310033P09Rik,Not_3UTR,mmu-miR-101c,FALSE,0
4930413M19Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Olfr187,Not_3UTR,mmu-miR-101c,FALSE,0
4632428C04Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Cd14,Not_3UTR,mmu-miR-101c,FALSE,0
Nup133,Not_3UTR,mmu-miR-101c,FALSE,0
9830132P13Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Tnc,Not_3UTR,mmu-miR-101c,FALSE,0
Htra4,Not_3UTR,mmu-miR-101c,FALSE,0
A430046D13Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Esrp1,Not_3UTR,mmu-miR-101c,FALSE,0
Aimp1,Not_3UTR,mmu-miR-101c,FALSE,1
C2cd4b,Not_3UTR,mmu-miR-101c,FALSE,0
Aplp2,Not_3UTR,mmu-miR-101c,FALSE,0
Ankrd26,Not_3UTR,mmu-miR-101c,FALSE,0
Dcbld2,Not_3UTR,mmu-miR-101c,FALSE,0
Dmrtc2,Not_3UTR,mmu-miR-101c,FALSE,0
BC005537,Not_3UTR,mmu-miR-101c,FALSE,107
Atad2b,Not_3UTR,mmu-miR-101c,FALSE,0
Cops8,Not_3UTR,mmu-miR-101c,FALSE,0
Tex15,Not_3UTR,mmu-miR-101c,FALSE,2
Zfp160,Not_3UTR,mmu-miR-101c,FALSE,0
Ccng1,Not_3UTR,mmu-miR-101c,FALSE,14
Wdsub1,Not_3UTR,mmu-miR-101c,FALSE,0
Ptger2,Not_3UTR,mmu-miR-101c,FALSE,1
Eif5b,Not_3UTR,mmu-miR-101c,FALSE,0
Kif2a,Not_3UTR,mmu-miR-101c,FALSE,0
Faah,Not_3UTR,mmu-miR-101c,FALSE,7
Paip2b,Not_3UTR,mmu-miR-101c,FALSE,0
2700049A03Rik,Not_3UTR,mmu-miR-101c,FALSE,0
2310007B03Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Ftsj3,Not_3UTR,mmu-miR-101c,FALSE,1
Casp4,Not_3UTR,mmu-miR-101c,FALSE,0
Kif11,Not_3UTR,mmu-miR-101c,FALSE,12
Mical1,Not_3UTR,mmu-miR-101c,FALSE,3
Mcmbp,Not_3UTR,mmu-miR-101c,FALSE,3
Sbno1,Not_3UTR,mmu-miR-101c,FALSE,3
Gm6904,Not_3UTR,mmu-miR-101c,FALSE,0
Map1a,Not_3UTR,mmu-miR-101c,FALSE,0
2510039O18Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Ripk4,Not_3UTR,mmu-miR-101c,FALSE,0
Angptl1,Not_3UTR,mmu-miR-101c,FALSE,0
Naif1,Not_3UTR,mmu-miR-101c,FALSE,3
Cyp3a59,Not_3UTR,mmu-miR-101c,FALSE,0
Bcl2l14,Not_3UTR,mmu-miR-101c,FALSE,0
Ssc4d,Not_3UTR,mmu-miR-101c,FALSE,0
Ammecr1l,Not_3UTR,mmu-miR-101c,FALSE,0
Adgrd1,Not_3UTR,mmu-miR-101c,FALSE,0
Crebbp,Not_3UTR,mmu-miR-101c,FALSE,4
Arhgap29,Not_3UTR,mmu-miR-101c,FALSE,0
Cfap69,Not_3UTR,mmu-miR-101c,FALSE,0
Otud6b,Not_3UTR,mmu-miR-101c,FALSE,4
Ly75,Not_3UTR,mmu-miR-101c,FALSE,2
2610020C07Rik,Not_3UTR,mmu-miR-101c,FALSE,0
4930423M02Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Cpsf4l,Not_3UTR,mmu-miR-101c,FALSE,0
Dpcr1,Not_3UTR,mmu-miR-101c,FALSE,0
Mmp17,Not_3UTR,mmu-miR-101c,FALSE,0
Cyp2j11,Not_3UTR,mmu-miR-101c,FALSE,0
Bri3,Not_3UTR,mmu-miR-101c,FALSE,1
6430550D23Rik,Not_3UTR,mmu-miR-101c,FALSE,0
1700029M20Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Creb3l2,Not_3UTR,mmu-miR-101c,FALSE,0
Smco3,Not_3UTR,mmu-miR-101c,FALSE,0
4930483O08Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Sec24c,Not_3UTR,mmu-miR-101c,FALSE,5
Cyb5r4,Not_3UTR,mmu-miR-101c,FALSE,0
Hpse,Not_3UTR,mmu-miR-101c,FALSE,0
E230013L22Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Ppp1r12b,Not_3UTR,mmu-miR-101c,FALSE,0
4930513O06Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Kif4-ps,Not_3UTR,mmu-miR-101c,FALSE,0
Cep290,Not_3UTR,mmu-miR-101c,FALSE,1
Gas5,Not_3UTR,mmu-miR-101c,FALSE,0
B230354K17Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Olfr1251,Not_3UTR,mmu-miR-101c,FALSE,2
Ehd1,Not_3UTR,mmu-miR-101c,FALSE,1
Epb41,Not_3UTR,mmu-miR-101c,FALSE,0
Coq4,Not_3UTR,mmu-miR-101c,FALSE,0
Calcrl,Not_3UTR,mmu-miR-101c,FALSE,0
Abcc3,Not_3UTR,mmu-miR-101c,FALSE,0
1700036G14Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Svep1,Not_3UTR,mmu-miR-101c,FALSE,0
Stk3,Not_3UTR,mmu-miR-101c,FALSE,0
Adam5,Not_3UTR,mmu-miR-101c,FALSE,0
Extl3,Not_3UTR,mmu-miR-101c,FALSE,0
Skint7,Not_3UTR,mmu-miR-101c,FALSE,0
5530401A14Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Ces2e,Not_3UTR,mmu-miR-101c,FALSE,0
Zscan5b,Not_3UTR,mmu-miR-101c,FALSE,0
Espl1,Not_3UTR,mmu-miR-101c,FALSE,0
Il1rl2,Not_3UTR,mmu-miR-101c,FALSE,0
Cdhr2,Not_3UTR,mmu-miR-101c,FALSE,0
Anapc2,Not_3UTR,mmu-miR-101c,FALSE,2
C6,Not_3UTR,mmu-miR-101c,FALSE,0
Abcb8,Not_3UTR,mmu-miR-101c,FALSE,0
4933427D14Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Ambra1,Not_3UTR,mmu-miR-101c,FALSE,0
6330407A03Rik,Not_3UTR,mmu-miR-101c,FALSE,0
G6pd2,Not_3UTR,mmu-miR-101c,FALSE,0
1700015F17Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Ctif,Not_3UTR,mmu-miR-101c,FALSE,0
Gm10440,Not_3UTR,mmu-miR-101c,FALSE,0
Mapk8ip3,Not_3UTR,mmu-miR-101c,FALSE,0
6430584L05Rik,Not_3UTR,mmu-miR-101c,FALSE,0
Lmf2,Not_3UTR,mmu-miR-101c,FALSE,0
Prim1,Not_3UTR,mmu-miR-101c,FALSE,0
Cnksr1,Not_3UTR,mmu-miR-101c,FALSE,0
Erbin,Not_3UTR,mmu-miR-101c,FALSE,2
Olfr1320,Not_3UTR,mmu-miR-101c,FALSE,0
Fndc3b,Not_3UTR,mmu-miR-101c,FALSE,2
Cdk1,Not_3UTR,mmu-miR-101c,FALSE,9
