Gene,Location,miR,Targetscan,Sum
Adgrl2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Scarf1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Abca4,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Adgrf5,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Ncdn,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Kdm1b,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
4732471J01Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
1700001P01Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Gm10789,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Rbm48,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Kalrn,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Gne,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Epp13,Not_3UTR,mmu-miR-125b-1-3p,FALSE,1
Ttll8,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Huwe1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Reep6,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Kcnh7,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Mlh3,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Cldn1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Fbxo33,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
1700028D13Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Gm16576,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Smco2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Ccdc177,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
2010111I01Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
1700093K21Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Timm23,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Kdm3a,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Fn1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Macf1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Gvin1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,1
A130010J15Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,11
Klf5,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
1700017J07Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
A230072C01Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Gpatch1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Syp,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Dnaaf2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,2
Pank3,Not_3UTR,mmu-miR-125b-1-3p,FALSE,40
2210404E10Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
2510009E07Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Mast1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Lgi4,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Ripk3,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
4930435E12Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Vtn,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
4930595M18Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Sash1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Smg5,Not_3UTR,mmu-miR-125b-1-3p,FALSE,1
Irf9,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Dohh,Not_3UTR,mmu-miR-125b-1-3p,FALSE,2
Ino80d,Not_3UTR,mmu-miR-125b-1-3p,FALSE,6
Klf2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Ephb6,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Erdr1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,2
Ppp1r26,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Apobr,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Dsg2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Kdm3b,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Pfkfb1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
4930463O16Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Adamtsl1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
1700030M09Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Washc5,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Rtcb,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
6820408C15Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
4930412O13Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Mbd5,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Tdg,Not_3UTR,mmu-miR-125b-1-3p,FALSE,4
Arl14ep,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Cyp4a10,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Gm5128,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Dopey2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Ago3,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Sdk2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Pmepa1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
AA543401,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Llgl2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
H2-Q1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
A730036I17Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Ccdc151,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
A930012L18Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Mmp23,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
1700015G11Rik,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Unc5d,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Eml6,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Gm15023,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Tceal9,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Adgb,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Ppip5k2,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Cldn14,Not_3UTR,mmu-miR-125b-1-3p,FALSE,0
Cps1,Not_3UTR,mmu-miR-125b-1-3p,FALSE,1
