Gene,Location,miR,Targetscan,Sum
Cd1d2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Gata5,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Sf3a2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Pik3c2b,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Gnal,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Tesk1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Fgfr4,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Chadl,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Myh13,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Cmas,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Jag2,Not_3UTR,mmu-miR-128-1-5p,FALSE,1
2310057M21Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Hivep3,Not_3UTR,mmu-miR-128-1-5p,FALSE,1
Tm2d2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Actc1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Cdhr2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Midn,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Mblac1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Il3ra,Not_3UTR,mmu-miR-128-1-5p,FALSE,3
Dlg1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Ulk3,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Atp2a1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Gpatch1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Cib1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
4732471J01Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Alg14,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Arfgef3,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Armc7,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Gramd1a,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Lingo4,Not_3UTR,mmu-miR-128-1-5p,FALSE,1
Gm4814,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Hs6st3,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Crybb1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Bcl2l12,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
2700049A03Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Fam71b,Not_3UTR,mmu-miR-128-1-5p,FALSE,5
Trpm2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Baiap2l2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Krtap4-13,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
1810019D21Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Ift172,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
5730488B01Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
D630045J12Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Gnai1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Frem3,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Adamts10,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Ddn,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Olfr1223,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
5430440P10Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
A230020J21Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Adgrf4,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Col20a1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Abcb9,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Irx4,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Lats2,Not_3UTR,mmu-miR-128-1-5p,FALSE,1
Hoxd4,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Rbm28,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Ciart,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Dll1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Eef2,Not_3UTR,mmu-miR-128-1-5p,FALSE,25
Stambpl1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Arf6,Not_3UTR,mmu-miR-128-1-5p,FALSE,11
Tlr9,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
1110028F18Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
9130024F11Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Insl5,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Mab21l1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
1500009C09Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Plekhh2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Krt12,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Eif4b,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Ampd2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Myoz3,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
B3gnt9,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Tert,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Crip2,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Camsap3,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Pisd-ps1,Not_3UTR,mmu-miR-128-1-5p,FALSE,2
Emid1,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Abcb6,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
2310009B15Rik,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Ercc4,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Cep170,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Dcaf7,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Sept1,Not_3UTR,mmu-miR-128-1-5p,FALSE,2
Kif2b,Not_3UTR,mmu-miR-128-1-5p,FALSE,0
Bmp6,Not_3UTR,mmu-miR-128-1-5p,FALSE,2
Stt3b,Not_3UTR,mmu-miR-128-1-5p,FALSE,7
