Gene,Location,miR,Targetscan,Sum
Olfr366,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Mmrn1,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Arrb2,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Spata31d1c,Not_3UTR,mmu-miR-219a-2-3p,FALSE,1
Ifi207,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Ceacam12,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Gm17644,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Olfr816,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Catsper3,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Enam,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Amd2,Not_3UTR,mmu-miR-219a-2-3p,FALSE,1
Igf1r,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Cwc22,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Aox4,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
4930503E24Rik,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Adora2b,Not_3UTR,mmu-miR-219a-2-3p,FALSE,1
4930445N18Rik,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Sptan1,Not_3UTR,mmu-miR-219a-2-3p,FALSE,5
Slc26a4,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
1810007D17Rik,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Gm29571,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Acat1,Not_3UTR,mmu-miR-219a-2-3p,FALSE,2
Taf9,Not_3UTR,mmu-miR-219a-2-3p,FALSE,17
Pde4a,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
1700017J07Rik,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Heatr1,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
Phc3,Not_3UTR,mmu-miR-219a-2-3p,FALSE,9
Rab3gap2,Not_3UTR,mmu-miR-219a-2-3p,FALSE,2
Cwf19l1,Not_3UTR,mmu-miR-219a-2-3p,FALSE,0
