Gene,Location,miR,Targetscan,Sum
A930001C03Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Cps1,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Rln1,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Huwe1,Not_3UTR,mmu-miR-302a-5p,FALSE,2
Gm5547,Not_3UTR,mmu-miR-302a-5p,FALSE,0
4930444P10Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
5830416I19Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Mcoln3,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Afdn,Not_3UTR,mmu-miR-302a-5p,FALSE,0
2410089E03Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
1700028E10Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Gpam,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Mrgpra2b,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Ubl7,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Hps1,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Ctdspl,Not_3UTR,mmu-miR-302a-5p,FALSE,9
Evl,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Ccdc68,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Cdan1,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Aldh2,Not_3UTR,mmu-miR-302a-5p,FALSE,0
4930444G20Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Ypel2,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Lamb1,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Sgtb,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Cltc,Not_3UTR,mmu-miR-302a-5p,FALSE,56
Ccdc169,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Arhgap29,Not_3UTR,mmu-miR-302a-5p,FALSE,1
Col6a4,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Hdac5,Not_3UTR,mmu-miR-302a-5p,FALSE,3
Endou,Not_3UTR,mmu-miR-302a-5p,FALSE,0
LOC100862268,Not_3UTR,mmu-miR-302a-5p,FALSE,1
1110046J04Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Gm10578,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Acod1,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Zfy2,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Fbxo34,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Uqcr11,Not_3UTR,mmu-miR-302a-5p,FALSE,14
Gm13178,Not_3UTR,mmu-miR-302a-5p,FALSE,0
1700030F18Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
L3mbtl4,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Zfp248,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Gm4872,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Iigp1,Not_3UTR,mmu-miR-302a-5p,FALSE,1
Armc4,Not_3UTR,mmu-miR-302a-5p,FALSE,0
D030025P21Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Cfap74,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Klhdc10,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Adam30,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Cyp2c66,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Gramd1b,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Csn1s1,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Vmn2r77,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Dnah5,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Fmnl3,Not_3UTR,mmu-miR-302a-5p,FALSE,0
4732471J01Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
St8sia5,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Pcdh9,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Fmnl1,Not_3UTR,mmu-miR-302a-5p,FALSE,32
2310002D06Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Gm4961,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Baz1b,Not_3UTR,mmu-miR-302a-5p,FALSE,5
4933408B17Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Epha5,Not_3UTR,mmu-miR-302a-5p,FALSE,0
2700046G09Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Mei4,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Abcb11,Not_3UTR,mmu-miR-302a-5p,FALSE,0
G2e3,Not_3UTR,mmu-miR-302a-5p,FALSE,19
Gm6408,Not_3UTR,mmu-miR-302a-5p,FALSE,0
2900076A07Rik,Not_3UTR,mmu-miR-302a-5p,FALSE,0
Gnat2,Not_3UTR,mmu-miR-302a-5p,FALSE,0
