Gene,Location,miR,Targetscan,Sum
A3galt2,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Lpo,Not_3UTR,mmu-miR-302d-5p,FALSE,0
4930444P10Rik,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Trim61,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Tex16,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Fbxo34,Not_3UTR,mmu-miR-302d-5p,FALSE,2
Usp24,Not_3UTR,mmu-miR-302d-5p,FALSE,15
Arg2,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Gm10400,Not_3UTR,mmu-miR-302d-5p,FALSE,0
D030045P18Rik,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Dlg1,Not_3UTR,mmu-miR-302d-5p,FALSE,2
4932702P03Rik,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Usp17lc,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Cgn,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Cdc25a,Not_3UTR,mmu-miR-302d-5p,FALSE,9
Lrrc1,Not_3UTR,mmu-miR-302d-5p,FALSE,0
A530013C23Rik,Not_3UTR,mmu-miR-302d-5p,FALSE,0
4930463O16Rik,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Ankrd12,Not_3UTR,mmu-miR-302d-5p,FALSE,4
Lmod3,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Atp5s,Not_3UTR,mmu-miR-302d-5p,FALSE,0
BC005561,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Gm19299,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Actrt3,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Mgam,Not_3UTR,mmu-miR-302d-5p,FALSE,0
2700049A03Rik,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Ddah1,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Prr11,Not_3UTR,mmu-miR-302d-5p,FALSE,55
9130221H12Rik,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Aspm,Not_3UTR,mmu-miR-302d-5p,FALSE,9
Lrriq1,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Tmem209,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Hymai,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Smc1b,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Ang3,Not_3UTR,mmu-miR-302d-5p,FALSE,0
Ggh,Not_3UTR,mmu-miR-302d-5p,FALSE,0
