Gene,Location,miR,Targetscan,Sum
1700073E17Rik,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Arr3,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Mdh1,Not_3UTR,mmu-miR-30c-1-3p,FALSE,1
Chd1l,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Aadacl3,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
C2,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Abcb5,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Dido1,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
F5,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Usp34,Not_3UTR,mmu-miR-30c-1-3p,FALSE,5
Lins1,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Taf5l,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Gpr119,Not_3UTR,mmu-miR-30c-1-3p,FALSE,1
Slc9a3,Not_3UTR,mmu-miR-30c-1-3p,FALSE,1
Col4a6,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
D130020L05Rik,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Igsf10,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Armcx3,Not_3UTR,mmu-miR-30c-1-3p,FALSE,2
Flt3,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Arhgap35,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Angpt2,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Cdcp2,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
A2m,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Iqcc,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Flt4,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
D930028M14Rik,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Klra18,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Gfra3,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Ang3,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Cttnbp2nl,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Trrap,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Dlx6,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Rpe65,Not_3UTR,mmu-miR-30c-1-3p,FALSE,1
Grik5,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Pop1,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Cox7a1,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Herc4,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Cul9,Not_3UTR,mmu-miR-30c-1-3p,FALSE,0
Ddx17,Not_3UTR,mmu-miR-30c-1-3p,FALSE,1
