Gene,Location,miR,Targetscan,Sum
9130011E15Rik,Not_3UTR,mmu-miR-30f,FALSE,0
D430036J16Rik,Not_3UTR,mmu-miR-30f,FALSE,1
Zmym1,Not_3UTR,mmu-miR-30f,FALSE,0
Iqsec1,Not_3UTR,mmu-miR-30f,FALSE,0
Hymai,Not_3UTR,mmu-miR-30f,FALSE,0
Ccdc28b,Not_3UTR,mmu-miR-30f,FALSE,1
Olfr935,Not_3UTR,mmu-miR-30f,FALSE,0
Kcnv2,Not_3UTR,mmu-miR-30f,FALSE,0
Olfr508,Not_3UTR,mmu-miR-30f,FALSE,0
Dst,Not_3UTR,mmu-miR-30f,FALSE,0
9530059O14Rik,Not_3UTR,mmu-miR-30f,FALSE,1
Lias,Not_3UTR,mmu-miR-30f,FALSE,0
Olfr525,Not_3UTR,mmu-miR-30f,FALSE,0
Med1,Not_3UTR,mmu-miR-30f,FALSE,0
1300017J02Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Cyp3a13,Not_3UTR,mmu-miR-30f,FALSE,0
Lipc,Not_3UTR,mmu-miR-30f,FALSE,0
1110059E24Rik,Not_3UTR,mmu-miR-30f,FALSE,25
Clec4a1,Not_3UTR,mmu-miR-30f,FALSE,0
Crp,Not_3UTR,mmu-miR-30f,FALSE,0
Atxn7l1,Not_3UTR,mmu-miR-30f,FALSE,5
BC046251,Not_3UTR,mmu-miR-30f,FALSE,0
Gpat3,Not_3UTR,mmu-miR-30f,FALSE,0
1700017N19Rik,Not_3UTR,mmu-miR-30f,FALSE,0
4930563E18Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Muc19,Not_3UTR,mmu-miR-30f,FALSE,0
1500012K07Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Alkbh1,Not_3UTR,mmu-miR-30f,FALSE,1
Golga7,Not_3UTR,mmu-miR-30f,FALSE,0
Gm5065,Not_3UTR,mmu-miR-30f,FALSE,0
Pola1,Not_3UTR,mmu-miR-30f,FALSE,0
Brap,Not_3UTR,mmu-miR-30f,FALSE,0
Bckdhb,Not_3UTR,mmu-miR-30f,FALSE,0
Cd14,Not_3UTR,mmu-miR-30f,FALSE,0
Gdf9,Not_3UTR,mmu-miR-30f,FALSE,0
1700029M20Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Adal,Not_3UTR,mmu-miR-30f,FALSE,0
Gm10825,Not_3UTR,mmu-miR-30f,FALSE,0
Crnn,Not_3UTR,mmu-miR-30f,FALSE,0
4931430N09Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Mast3,Not_3UTR,mmu-miR-30f,FALSE,0
Gps1,Not_3UTR,mmu-miR-30f,FALSE,0
Agbl3,Not_3UTR,mmu-miR-30f,FALSE,0
Vmn1r78,Not_3UTR,mmu-miR-30f,FALSE,0
4930402K13Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Snx25,Not_3UTR,mmu-miR-30f,FALSE,0
Atrn,Not_3UTR,mmu-miR-30f,FALSE,0
Amz2,Not_3UTR,mmu-miR-30f,FALSE,0
Gpbp1,Not_3UTR,mmu-miR-30f,FALSE,12
B230354K17Rik,Not_3UTR,mmu-miR-30f,FALSE,5
Sept10,Not_3UTR,mmu-miR-30f,FALSE,0
Olfr1535,Not_3UTR,mmu-miR-30f,FALSE,0
4921525O09Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Ccnh,Not_3UTR,mmu-miR-30f,FALSE,0
Mmp19,Not_3UTR,mmu-miR-30f,FALSE,0
Cldn16,Not_3UTR,mmu-miR-30f,FALSE,0
1500015A07Rik,Not_3UTR,mmu-miR-30f,FALSE,0
4930415L06Rik,Not_3UTR,mmu-miR-30f,FALSE,0
2900079G21Rik,Not_3UTR,mmu-miR-30f,FALSE,1
3010003L21Rik,Not_3UTR,mmu-miR-30f,FALSE,0
4930474G06Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Mycbp2,Not_3UTR,mmu-miR-30f,FALSE,22
Layn,Not_3UTR,mmu-miR-30f,FALSE,0
Sun2,Not_3UTR,mmu-miR-30f,FALSE,0
D930016D06Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Mtmr4,Not_3UTR,mmu-miR-30f,FALSE,0
Lncenc1,Not_3UTR,mmu-miR-30f,FALSE,0
Gm3086,Not_3UTR,mmu-miR-30f,FALSE,0
Gm10536,Not_3UTR,mmu-miR-30f,FALSE,0
Aff2,Not_3UTR,mmu-miR-30f,FALSE,0
Trim56,Not_3UTR,mmu-miR-30f,FALSE,2
A430089I19Rik,Not_3UTR,mmu-miR-30f,FALSE,0
1600029I14Rik,Not_3UTR,mmu-miR-30f,FALSE,0
4933427E13Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Adam6b,Not_3UTR,mmu-miR-30f,FALSE,0
AI115009,Not_3UTR,mmu-miR-30f,FALSE,0
Maml2,Not_3UTR,mmu-miR-30f,FALSE,0
Irf2bp1,Not_3UTR,mmu-miR-30f,FALSE,0
Arhgap30,Not_3UTR,mmu-miR-30f,FALSE,2
Chd2,Not_3UTR,mmu-miR-30f,FALSE,0
Hydin,Not_3UTR,mmu-miR-30f,FALSE,0
Ppp2r2a,Not_3UTR,mmu-miR-30f,FALSE,7
4930555B11Rik,Not_3UTR,mmu-miR-30f,FALSE,0
4930555G01Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Fastkd2,Not_3UTR,mmu-miR-30f,FALSE,2
4930556M19Rik,Not_3UTR,mmu-miR-30f,FALSE,0
5430402O13Rik,Not_3UTR,mmu-miR-30f,FALSE,0
Abcg2,Not_3UTR,mmu-miR-30f,FALSE,0
