Gene,Location,miR,Targetscan,Sum
1700010D01Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
3110002H16Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Ccdc88c,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Gpr151,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
A630072M18Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
1810044D09Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
A530058N18Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
5730416F02Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
1700072I22Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Egfl8,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Sh2d3c,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Hhex,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Abca7,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Gm7134,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Ube3a,Not_3UTR,mmu-miR-344d-2-5p,FALSE,1
1700125G22Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Dpp10,Not_3UTR,mmu-miR-344d-2-5p,FALSE,1
Fosl1,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Aplp1,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
4833420G17Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,4
Man2a2,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Zfp646,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Slc39a6,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Evl,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Dgcr2,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Il21,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Ddx19a,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
1700061J23Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Cacna1s,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
1700003E24Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
E130201H02Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
1700003M07Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,1
Dcakd,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Gm3383,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Irf2bp2,Not_3UTR,mmu-miR-344d-2-5p,FALSE,53
Ahctf1,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Abcb4,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Adamts20,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Nepro,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Ccm2,Not_3UTR,mmu-miR-344d-2-5p,FALSE,36
Arsa,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Vmn2r110,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
4930433I11Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Gm5483,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
L2hgdh,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Fzd1,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Ptprm,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Btbd16,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
1700007P06Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Hoxc6,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Fap,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Stfa1,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Ift81,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Ctsd,Not_3UTR,mmu-miR-344d-2-5p,FALSE,33
Adam26b,Not_3UTR,mmu-miR-344d-2-5p,FALSE,1
1700123K08Rik,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Camta2,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Arfgef1,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
Mms19,Not_3UTR,mmu-miR-344d-2-5p,FALSE,0
