Gene,Location,miR,Targetscan,Sum
Kiss1r,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Atp8b2,Not_3UTR,mmu-miR-344f-3p,FALSE,4
Casz1,Not_3UTR,mmu-miR-344f-3p,FALSE,1
Akap9,Not_3UTR,mmu-miR-344f-3p,FALSE,6
Herc3,Not_3UTR,mmu-miR-344f-3p,FALSE,1
Col7a1,Not_3UTR,mmu-miR-344f-3p,FALSE,0
4930447J18Rik,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Spag5,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Actn1,Not_3UTR,mmu-miR-344f-3p,FALSE,1
D630023F18Rik,Not_3UTR,mmu-miR-344f-3p,FALSE,0
4931440F15Rik,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Sel1l,Not_3UTR,mmu-miR-344f-3p,FALSE,1
Cep295,Not_3UTR,mmu-miR-344f-3p,FALSE,10
Ccdc129,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Sipa1l2,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Ky,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Amph,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Abcc8,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Eps8l3,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Amigo3,Not_3UTR,mmu-miR-344f-3p,FALSE,0
C6,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Acss3,Not_3UTR,mmu-miR-344f-3p,FALSE,0
1700028E10Rik,Not_3UTR,mmu-miR-344f-3p,FALSE,0
1500026H17Rik,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Isoc2b,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Ajap1,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Zbtb32,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Baz2a,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Hadhb,Not_3UTR,mmu-miR-344f-3p,FALSE,4
Rps27l,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Mss51,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Sars2,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Gusb,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Atp9b,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Gm15408,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Hspd1,Not_3UTR,mmu-miR-344f-3p,FALSE,2
Dpep3,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Gm2897,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Amigo2,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Loxl4,Not_3UTR,mmu-miR-344f-3p,FALSE,0
1700066M21Rik,Not_3UTR,mmu-miR-344f-3p,FALSE,2
Ccdc186,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Setx,Not_3UTR,mmu-miR-344f-3p,FALSE,9
Ddx46,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Cep164,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Ift81,Not_3UTR,mmu-miR-344f-3p,FALSE,0
A930017M01Rik,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Gphn,Not_3UTR,mmu-miR-344f-3p,FALSE,0
Gm3020,Not_3UTR,mmu-miR-344f-3p,FALSE,0
