Gene,Location,miR,Targetscan,Sum
Brd2,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Wsb1,Not_3UTR,mmu-miR-344g-3p,FALSE,9
Gpr37,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Alms1-ps2,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Kctd19,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Lrrc7,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Pdcl3,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Acsl6,Not_3UTR,mmu-miR-344g-3p,FALSE,0
1700060C20Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Dnajc19,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Grik2,Not_3UTR,mmu-miR-344g-3p,FALSE,1
Gal3st3,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Mycs,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Ddx27,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Usp3,Not_3UTR,mmu-miR-344g-3p,FALSE,0
4933402E13Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Trim60,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Camk2g,Not_3UTR,mmu-miR-344g-3p,FALSE,5
Fhod1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Vwf,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Gpr150,Not_3UTR,mmu-miR-344g-3p,FALSE,0
AA543401,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Fgl1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
4930544M13Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Nbas,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Srp68,Not_3UTR,mmu-miR-344g-3p,FALSE,4
Cntnap4,Not_3UTR,mmu-miR-344g-3p,FALSE,0
2410089E03Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
2810474O19Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Ccdc187,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Otoa,Not_3UTR,mmu-miR-344g-3p,FALSE,0
4930429B21Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Isyna1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Dhodh,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Cant1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Slc2a7,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Prdm4,Not_3UTR,mmu-miR-344g-3p,FALSE,11
4933427D06Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Lonp1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Dlgap3,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Gle1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Tbcd,Not_3UTR,mmu-miR-344g-3p,FALSE,0
BC048644,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Mroh2a,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Brip1,Not_3UTR,mmu-miR-344g-3p,FALSE,1
Abca4,Not_3UTR,mmu-miR-344g-3p,FALSE,0
9330111N05Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Trim56,Not_3UTR,mmu-miR-344g-3p,FALSE,0
4930412O13Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
1500026H17Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
4930478P22Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Prdm10,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Cpq,Not_3UTR,mmu-miR-344g-3p,FALSE,2
A1bg,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Ddb1,Not_3UTR,mmu-miR-344g-3p,FALSE,6
Gm10433,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Irx6,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Ptpdc1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Wdr19,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Arhgap10,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Carmil3,Not_3UTR,mmu-miR-344g-3p,FALSE,0
1700001K19Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Fam43b,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Hsp90aa1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Cnrip1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Cdh2,Not_3UTR,mmu-miR-344g-3p,FALSE,0
4932438A13Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,3
Ubr4,Not_3UTR,mmu-miR-344g-3p,FALSE,1
Grk4,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Gm3286,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Pde10a,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Evc2,Not_3UTR,mmu-miR-344g-3p,FALSE,0
9030025P20Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Prss55,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Kif3c,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Fbxo48,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Sec31b,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Abl2,Not_3UTR,mmu-miR-344g-3p,FALSE,0
1700022A22Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Efhb,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Abcc5,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Dnajb7,Not_3UTR,mmu-miR-344g-3p,FALSE,0
4930404H11Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Tex10,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Rabl6,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Vmn2r19,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Krt79,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Trap1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
0610039K10Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Zic1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Clcn6,Not_3UTR,mmu-miR-344g-3p,FALSE,0
3632451O06Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Mapkbp1,Not_3UTR,mmu-miR-344g-3p,FALSE,0
1700084D21Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Wdr81,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Mmp12,Not_3UTR,mmu-miR-344g-3p,FALSE,0
B230307C23Rik,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Lars2,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Akna,Not_3UTR,mmu-miR-344g-3p,FALSE,11
Ankrd63,Not_3UTR,mmu-miR-344g-3p,FALSE,0
Klhl23,Not_3UTR,mmu-miR-344g-3p,FALSE,1
