Gene,Location,miR,Targetscan,Sum
2010111I01Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm17751,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Epha6,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm10670,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Mybpc3,Not_3UTR,mmu-miR-344h-3p,FALSE,0
March1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Il1rapl2,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Duxbl1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm10409,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Nlrp9b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Clcn3,Not_3UTR,mmu-miR-344h-3p,FALSE,2
Fetub,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Dnmt3l,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gabbr1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Ccdc82,Not_3UTR,mmu-miR-344h-3p,FALSE,0
4833417C18Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
4930593A02Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
B130024G19Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Vmn1r235,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Cep85,Not_3UTR,mmu-miR-344h-3p,FALSE,0
1700006H21Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Apcs,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Acacb,Not_3UTR,mmu-miR-344h-3p,FALSE,0
1700080O16Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm14827,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Dchs1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
BC005561,Not_3UTR,mmu-miR-344h-3p,FALSE,2
Zeb2os,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gla,Not_3UTR,mmu-miR-344h-3p,FALSE,0
2210039B01Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gpr171,Not_3UTR,mmu-miR-344h-3p,FALSE,5
Acvr1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Aggf1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
1700018F24Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
A2ml1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm10400,Not_3UTR,mmu-miR-344h-3p,FALSE,1
Klhl4,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Larp7,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Tgfbrap1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
1810034E14Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Phf10,Not_3UTR,mmu-miR-344h-3p,FALSE,7
4921511C20Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
4930483O08Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Ndufaf3,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Cntrl,Not_3UTR,mmu-miR-344h-3p,FALSE,4
Ms4a4b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Chuk,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Taar7b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Jmjd1c,Not_3UTR,mmu-miR-344h-3p,FALSE,2
Qser1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
1300002E11Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,7
Myo3b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm17727,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Slc24a5,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Olfr834,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Atf7ip,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Fam160b1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Nr3c2,Not_3UTR,mmu-miR-344h-3p,FALSE,0
9530051G07Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Zf12,Not_3UTR,mmu-miR-344h-3p,FALSE,1
Ccdc148,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Atp10b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
4930505A04Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Cwc22,Not_3UTR,mmu-miR-344h-3p,FALSE,0
9430065F17Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Ell2,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Slc26a8,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Cog2,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Atp13a3,Not_3UTR,mmu-miR-344h-3p,FALSE,39
Kmt5a,Not_3UTR,mmu-miR-344h-3p,FALSE,23
Cdh19,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Olfr1301,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Olfr835,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Aadac,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Map2,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Cnot1,Not_3UTR,mmu-miR-344h-3p,FALSE,9
Dsg1c,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Slc36a3,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gcnt3,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Dut,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Krt39,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Abcd2,Not_3UTR,mmu-miR-344h-3p,FALSE,1
Synj1,Not_3UTR,mmu-miR-344h-3p,FALSE,2
A730046J19Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Abi1,Not_3UTR,mmu-miR-344h-3p,FALSE,53
Fam120aos,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Zfp940,Not_3UTR,mmu-miR-344h-3p,FALSE,0
2810049E08Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,3
8430437L04Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Marf1,Not_3UTR,mmu-miR-344h-3p,FALSE,2
Vdac3,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Brip1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Adad1,Not_3UTR,mmu-miR-344h-3p,FALSE,1
Ect2,Not_3UTR,mmu-miR-344h-3p,FALSE,10
Adam29,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Masp2,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm14496,Not_3UTR,mmu-miR-344h-3p,FALSE,0
5830473C10Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Abcc1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm6614,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Edrf1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
5830417I10Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Adgrl3,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Csnk1a1,Not_3UTR,mmu-miR-344h-3p,FALSE,190
A530065N20Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Becn1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Atg9a,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Agbl4,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Agr2,Not_3UTR,mmu-miR-344h-3p,FALSE,0
B3gntl1,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Gm10639,Not_3UTR,mmu-miR-344h-3p,FALSE,1
Gm8765,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Vps13b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
AI504432,Not_3UTR,mmu-miR-344h-3p,FALSE,101
Prdx6b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Olfr1099,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Ak6,Not_3UTR,mmu-miR-344h-3p,FALSE,0
4732491K20Rik,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Akap17b,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Capn6,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Cp,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Olfr1046,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Arhgef28,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Arhgef5,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Aldh1a7,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Ptprq,Not_3UTR,mmu-miR-344h-3p,FALSE,0
Haus3,Not_3UTR,mmu-miR-344h-3p,FALSE,40
