Gene,Location,miR,Targetscan,Sum
Snx25,Not_3UTR,mmu-miR-344i,FALSE,2
Ugt1a5,Not_3UTR,mmu-miR-344i,FALSE,0
Dtwd2,Not_3UTR,mmu-miR-344i,FALSE,0
A330023F24Rik,Not_3UTR,mmu-miR-344i,FALSE,0
Rxrg,Not_3UTR,mmu-miR-344i,FALSE,0
Ces2f,Not_3UTR,mmu-miR-344i,FALSE,0
Cyp4f39,Not_3UTR,mmu-miR-344i,FALSE,0
Atp2a3,Not_3UTR,mmu-miR-344i,FALSE,0
Helz2,Not_3UTR,mmu-miR-344i,FALSE,0
Cd300lf,Not_3UTR,mmu-miR-344i,FALSE,0
Dock1,Not_3UTR,mmu-miR-344i,FALSE,0
Grm8,Not_3UTR,mmu-miR-344i,FALSE,0
Hs3st2,Not_3UTR,mmu-miR-344i,FALSE,0
Mpp4,Not_3UTR,mmu-miR-344i,FALSE,0
Dnal4,Not_3UTR,mmu-miR-344i,FALSE,1
Dhx58,Not_3UTR,mmu-miR-344i,FALSE,0
Actg1,Not_3UTR,mmu-miR-344i,FALSE,60
Amz2,Not_3UTR,mmu-miR-344i,FALSE,4
1700022A22Rik,Not_3UTR,mmu-miR-344i,FALSE,0
Trpv4,Not_3UTR,mmu-miR-344i,FALSE,0
Dnah11,Not_3UTR,mmu-miR-344i,FALSE,0
Lactb,Not_3UTR,mmu-miR-344i,FALSE,0
Adgrf1,Not_3UTR,mmu-miR-344i,FALSE,0
Cd151,Not_3UTR,mmu-miR-344i,FALSE,0
Dock8,Not_3UTR,mmu-miR-344i,FALSE,2
Gm15085,Not_3UTR,mmu-miR-344i,FALSE,0
Dgkb,Not_3UTR,mmu-miR-344i,FALSE,0
1700066M21Rik,Not_3UTR,mmu-miR-344i,FALSE,2
Amy1,Not_3UTR,mmu-miR-344i,FALSE,0
8430408G22Rik,Not_3UTR,mmu-miR-344i,FALSE,0
Usp26,Not_3UTR,mmu-miR-344i,FALSE,0
Kcna10,Not_3UTR,mmu-miR-344i,FALSE,0
Ankle1,Not_3UTR,mmu-miR-344i,FALSE,0
Arg1,Not_3UTR,mmu-miR-344i,FALSE,0
Cited4,Not_3UTR,mmu-miR-344i,FALSE,0
Apbb2,Not_3UTR,mmu-miR-344i,FALSE,0
Tlr6,Not_3UTR,mmu-miR-344i,FALSE,22
Syn3,Not_3UTR,mmu-miR-344i,FALSE,0
Bbs4,Not_3UTR,mmu-miR-344i,FALSE,0
9430018G01Rik,Not_3UTR,mmu-miR-344i,FALSE,0
Tob1,Not_3UTR,mmu-miR-344i,FALSE,12
Acaca,Not_3UTR,mmu-miR-344i,FALSE,0
Igfbp3,Not_3UTR,mmu-miR-344i,FALSE,0
Zfp879,Not_3UTR,mmu-miR-344i,FALSE,0
Nox4,Not_3UTR,mmu-miR-344i,FALSE,0
Pwp1,Not_3UTR,mmu-miR-344i,FALSE,0
Gm15107,Not_3UTR,mmu-miR-344i,FALSE,0
Galnt9,Not_3UTR,mmu-miR-344i,FALSE,0
Ubr5,Not_3UTR,mmu-miR-344i,FALSE,0
Itpr1,Not_3UTR,mmu-miR-344i,FALSE,10
