Gene,Location,miR,Targetscan,Sum
Cnga1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Zfp40,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Gm14632,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Thap4,Not_3UTR,mmu-miR-34c-3p,FALSE,2
4930412O13Rik,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Gprin1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Osbpl3,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Anln,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Arhgap23,Not_3UTR,mmu-miR-34c-3p,FALSE,0
AA536875,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Prkdc,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Gm11266,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Esr1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Dsc1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Abca16,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Frmpd1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Mga,Not_3UTR,mmu-miR-34c-3p,FALSE,15
Sec16b,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Vmn2r123,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Ctnnd2,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Adcy8,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Daglb,Not_3UTR,mmu-miR-34c-3p,FALSE,1
Prrc2c,Not_3UTR,mmu-miR-34c-3p,FALSE,5
Dlat,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Cenpb,Not_3UTR,mmu-miR-34c-3p,FALSE,0
F8,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Acox2,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Rnf219,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Dnah1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Tmem199,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Gsdmc3,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Zfp119a,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Keap1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Rbm6,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Rbsn,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Myo5c,Not_3UTR,mmu-miR-34c-3p,FALSE,1
Jak2,Not_3UTR,mmu-miR-34c-3p,FALSE,7
Gm4302,Not_3UTR,mmu-miR-34c-3p,FALSE,0
4930513O06Rik,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Acbd5,Not_3UTR,mmu-miR-34c-3p,FALSE,2
Eif5,Not_3UTR,mmu-miR-34c-3p,FALSE,7
Hdlbp,Not_3UTR,mmu-miR-34c-3p,FALSE,2
Akr1c19,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Kpna3,Not_3UTR,mmu-miR-34c-3p,FALSE,9
AI115009,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Clgn,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Ankrd17,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Col20a1,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Atad2b,Not_3UTR,mmu-miR-34c-3p,FALSE,4
BC048507,Not_3UTR,mmu-miR-34c-3p,FALSE,0
4930567J20Rik,Not_3UTR,mmu-miR-34c-3p,FALSE,0
Atp8a1,Not_3UTR,mmu-miR-34c-3p,FALSE,4
Ank3,Not_3UTR,mmu-miR-34c-3p,FALSE,0
