Gene,Location,miR,Targetscan,Sum
Olfr847,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ccnt2,Not_3UTR,mmu-miR-361-5p,FALSE,0
BC055324,Not_3UTR,mmu-miR-361-5p,FALSE,0
Dnah1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Tpte,Not_3UTR,mmu-miR-361-5p,FALSE,0
Bod1l,Not_3UTR,mmu-miR-361-5p,FALSE,6
Esco1,Not_3UTR,mmu-miR-361-5p,FALSE,29
Ms4a10,Not_3UTR,mmu-miR-361-5p,FALSE,0
C630043F03Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Tenm2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Csf2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Adam4,Not_3UTR,mmu-miR-361-5p,FALSE,4
Satb2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cbx3,Not_3UTR,mmu-miR-361-5p,FALSE,5
Fam214a,Not_3UTR,mmu-miR-361-5p,FALSE,0
4931408C20Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
2810013P06Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
4732491K20Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cyp2c39,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cd86,Not_3UTR,mmu-miR-361-5p,FALSE,0
Phactr4,Not_3UTR,mmu-miR-361-5p,FALSE,2
Tdp1,Not_3UTR,mmu-miR-361-5p,FALSE,1
Serpinb9b,Not_3UTR,mmu-miR-361-5p,FALSE,0
Vmn2r107,Not_3UTR,mmu-miR-361-5p,FALSE,0
Crybg1,Not_3UTR,mmu-miR-361-5p,FALSE,2
Intu,Not_3UTR,mmu-miR-361-5p,FALSE,0
Map4k2,Not_3UTR,mmu-miR-361-5p,FALSE,4
E130308A19Rik,Not_3UTR,mmu-miR-361-5p,FALSE,1
Olfr199,Not_3UTR,mmu-miR-361-5p,FALSE,0
Icosl,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gm20767,Not_3UTR,mmu-miR-361-5p,FALSE,0
1110008L16Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Lcmt1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Npsr1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ints8,Not_3UTR,mmu-miR-361-5p,FALSE,0
4933416M07Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Kif15,Not_3UTR,mmu-miR-361-5p,FALSE,0
B830017H08Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Il13ra2,Not_3UTR,mmu-miR-361-5p,FALSE,0
C1qtnf5,Not_3UTR,mmu-miR-361-5p,FALSE,0
2810454H06Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gm15127,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cdk13,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fat4,Not_3UTR,mmu-miR-361-5p,FALSE,0
1700012I11Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Dusp15,Not_3UTR,mmu-miR-361-5p,FALSE,0
Tas1r1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Mybpc1,Not_3UTR,mmu-miR-361-5p,FALSE,1
Alg13,Not_3UTR,mmu-miR-361-5p,FALSE,0
Defb26,Not_3UTR,mmu-miR-361-5p,FALSE,0
H60b,Not_3UTR,mmu-miR-361-5p,FALSE,0
Lrp2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fndc3a,Not_3UTR,mmu-miR-361-5p,FALSE,3
Foxo4,Not_3UTR,mmu-miR-361-5p,FALSE,1
Ids,Not_3UTR,mmu-miR-361-5p,FALSE,2
2010310C07Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Foxn2,Not_3UTR,mmu-miR-361-5p,FALSE,6
Gm9125,Not_3UTR,mmu-miR-361-5p,FALSE,0
2700060E02Rik,Not_3UTR,mmu-miR-361-5p,FALSE,20
1810032O08Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Abca9,Not_3UTR,mmu-miR-361-5p,FALSE,0
Mageb16,Not_3UTR,mmu-miR-361-5p,FALSE,0
Olfr860,Not_3UTR,mmu-miR-361-5p,FALSE,0
Clasp2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gm38667,Not_3UTR,mmu-miR-361-5p,FALSE,0
4930402F06Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
1700001C02Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Rpl15,Not_3UTR,mmu-miR-361-5p,FALSE,4
Nlrc4,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gm4907,Not_3UTR,mmu-miR-361-5p,FALSE,0
Pbrm1,Not_3UTR,mmu-miR-361-5p,FALSE,4
4930467D21Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
A730036I17Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Bptf,Not_3UTR,mmu-miR-361-5p,FALSE,12
Golga3,Not_3UTR,mmu-miR-361-5p,FALSE,1
4930463O16Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Nid2,Not_3UTR,mmu-miR-361-5p,FALSE,0
4930552N02Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
4930553J12Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Dis3l,Not_3UTR,mmu-miR-361-5p,FALSE,0
2900079G21Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Olfr141,Not_3UTR,mmu-miR-361-5p,FALSE,0
1700042O10Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Krcc1,Not_3UTR,mmu-miR-361-5p,FALSE,0
4930519F16Rik,Not_3UTR,mmu-miR-361-5p,FALSE,1
Olfr522,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fanca,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ppp1r3a,Not_3UTR,mmu-miR-361-5p,FALSE,0
4931403G20Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Scn10a,Not_3UTR,mmu-miR-361-5p,FALSE,0
N4bp1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cfh,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fan1,Not_3UTR,mmu-miR-361-5p,FALSE,0
7420426K07Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
4930548G14Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
4932429P05Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Itga6,Not_3UTR,mmu-miR-361-5p,FALSE,1
Siglecf,Not_3UTR,mmu-miR-361-5p,FALSE,0
Morc3,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gm1553,Not_3UTR,mmu-miR-361-5p,FALSE,0
Rprd2,Not_3UTR,mmu-miR-361-5p,FALSE,1
Sf3b1,Not_3UTR,mmu-miR-361-5p,FALSE,4
9230105E05Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Olfr796,Not_3UTR,mmu-miR-361-5p,FALSE,0
Tns3,Not_3UTR,mmu-miR-361-5p,FALSE,0
Olfr1046,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cyp2j9,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ifi44l,Not_3UTR,mmu-miR-361-5p,FALSE,0
Slc22a16,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ctr9,Not_3UTR,mmu-miR-361-5p,FALSE,7
Leo1,Not_3UTR,mmu-miR-361-5p,FALSE,1
4930474H20Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Atrx,Not_3UTR,mmu-miR-361-5p,FALSE,50
Nsun3,Not_3UTR,mmu-miR-361-5p,FALSE,0
Arhgap5,Not_3UTR,mmu-miR-361-5p,FALSE,0
Olfr1188,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fkbp15,Not_3UTR,mmu-miR-361-5p,FALSE,1
4930417O13Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Mst1r,Not_3UTR,mmu-miR-361-5p,FALSE,0
Sh3yl1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ros1,Not_3UTR,mmu-miR-361-5p,FALSE,0
4930556C24Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
5430425K12Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Srsf4,Not_3UTR,mmu-miR-361-5p,FALSE,4
Adgrv1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gm9926,Not_3UTR,mmu-miR-361-5p,FALSE,0
9530036O11Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Dopey1,Not_3UTR,mmu-miR-361-5p,FALSE,0
9630001P10Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
4933406F09Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Catsperg2,Not_3UTR,mmu-miR-361-5p,FALSE,0
9830132P13Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
9930021J03Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Olfr138,Not_3UTR,mmu-miR-361-5p,FALSE,0
D430019H16Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fndc3c1,Not_3UTR,mmu-miR-361-5p,FALSE,0
Mndal,Not_3UTR,mmu-miR-361-5p,FALSE,2
Dnah5,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ryr2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Adam15,Not_3UTR,mmu-miR-361-5p,FALSE,0
4931431F19Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
A430046D13Rik,Not_3UTR,mmu-miR-361-5p,FALSE,1
A530046M15Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
A530099J19Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
A630019I02Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fastkd3,Not_3UTR,mmu-miR-361-5p,FALSE,0
Dennd1b,Not_3UTR,mmu-miR-361-5p,FALSE,2
A930017M01Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Mdn1,Not_3UTR,mmu-miR-361-5p,FALSE,1
Lrrc66,Not_3UTR,mmu-miR-361-5p,FALSE,0
D030068K23Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Atg2b,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gprasp2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Abca14,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cntnap2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Ercc6l2,Not_3UTR,mmu-miR-361-5p,FALSE,2
Abca6,Not_3UTR,mmu-miR-361-5p,FALSE,0
Abca7,Not_3UTR,mmu-miR-361-5p,FALSE,0
Abcb9,Not_3UTR,mmu-miR-361-5p,FALSE,0
Gm6787,Not_3UTR,mmu-miR-361-5p,FALSE,0
Abcc2,Not_3UTR,mmu-miR-361-5p,FALSE,0
4930524N10Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Abcb5,Not_3UTR,mmu-miR-361-5p,FALSE,0
Lrp5,Not_3UTR,mmu-miR-361-5p,FALSE,0
Rnf19a,Not_3UTR,mmu-miR-361-5p,FALSE,5
Cnksr2,Not_3UTR,mmu-miR-361-5p,FALSE,0
Aadat,Not_3UTR,mmu-miR-361-5p,FALSE,0
Cpa3,Not_3UTR,mmu-miR-361-5p,FALSE,0
9230110F15Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
Olfr1364,Not_3UTR,mmu-miR-361-5p,FALSE,0
Daglb,Not_3UTR,mmu-miR-361-5p,FALSE,0
Obp1b,Not_3UTR,mmu-miR-361-5p,FALSE,0
A530013C23Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
AI197445,Not_3UTR,mmu-miR-361-5p,FALSE,1
Accsl,Not_3UTR,mmu-miR-361-5p,FALSE,0
C9,Not_3UTR,mmu-miR-361-5p,FALSE,0
Fbl,Not_3UTR,mmu-miR-361-5p,FALSE,0
1700001J11Rik,Not_3UTR,mmu-miR-361-5p,FALSE,12
Acox3,Not_3UTR,mmu-miR-361-5p,FALSE,0
Elac2,Not_3UTR,mmu-miR-361-5p,FALSE,12
Mta1,Not_3UTR,mmu-miR-361-5p,FALSE,16
Dock10,Not_3UTR,mmu-miR-361-5p,FALSE,13
Actn2,Not_3UTR,mmu-miR-361-5p,FALSE,0
1700074P13Rik,Not_3UTR,mmu-miR-361-5p,FALSE,0
