Gene,Location,miR,Targetscan,Sum
Hps4,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Pak7,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Tshz3,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Ephb2,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Adgrl1,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Ccdc87,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Acta1,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Arhgap45,Not_3UTR,mmu-miR-374b-3p,FALSE,3
St8sia3,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Eps15,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Epha6,Not_3UTR,mmu-miR-374b-3p,FALSE,0
4921530L21Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
A230001M10Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
A1cf,Not_3UTR,mmu-miR-374b-3p,FALSE,0
4930505A04Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Apcdd1,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Mst1,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Crisp4,Not_3UTR,mmu-miR-374b-3p,FALSE,0
4930480K23Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Clpp,Not_3UTR,mmu-miR-374b-3p,FALSE,5
4921501E09Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Garem1,Not_3UTR,mmu-miR-374b-3p,FALSE,1
Ctrc,Not_3UTR,mmu-miR-374b-3p,FALSE,0
4933416O17Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
4732416N19Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
4930480K15Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Cstl1,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Chrnb2,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Invs,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Anks4b,Not_3UTR,mmu-miR-374b-3p,FALSE,0
LOC215458,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Angpt1,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Enpp3,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Adcy2,Not_3UTR,mmu-miR-374b-3p,FALSE,0
1700011L22Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
4930474G06Rik,Not_3UTR,mmu-miR-374b-3p,FALSE,0
Fnbp1,Not_3UTR,mmu-miR-374b-3p,FALSE,6
