Gene,Location,miR,Targetscan,Sum
A2ml1,Not_3UTR,mmu-miR-378d,FALSE,0
Ap3b1,Not_3UTR,mmu-miR-378d,FALSE,4
4933434E20Rik,Not_3UTR,mmu-miR-378d,FALSE,1
Cdrt4,Not_3UTR,mmu-miR-378d,FALSE,0
Krt81,Not_3UTR,mmu-miR-378d,FALSE,0
Mettl18,Not_3UTR,mmu-miR-378d,FALSE,0
6030468B19Rik,Not_3UTR,mmu-miR-378d,FALSE,0
Pcdhb10,Not_3UTR,mmu-miR-378d,FALSE,0
Apobr,Not_3UTR,mmu-miR-378d,FALSE,0
Dhx30,Not_3UTR,mmu-miR-378d,FALSE,0
D8Ertd738e,Not_3UTR,mmu-miR-378d,FALSE,9
Parp1,Not_3UTR,mmu-miR-378d,FALSE,2
1110046J04Rik,Not_3UTR,mmu-miR-378d,FALSE,0
Ckap2,Not_3UTR,mmu-miR-378d,FALSE,0
Adipor1,Not_3UTR,mmu-miR-378d,FALSE,6
Cadm2,Not_3UTR,mmu-miR-378d,FALSE,0
Chm,Not_3UTR,mmu-miR-378d,FALSE,14
4930433I11Rik,Not_3UTR,mmu-miR-378d,FALSE,0
Dip2a,Not_3UTR,mmu-miR-378d,FALSE,0
Camk2g,Not_3UTR,mmu-miR-378d,FALSE,0
Gm10814,Not_3UTR,mmu-miR-378d,FALSE,0
Armc4,Not_3UTR,mmu-miR-378d,FALSE,0
Ccdc142,Not_3UTR,mmu-miR-378d,FALSE,0
Fut10,Not_3UTR,mmu-miR-378d,FALSE,0
Nhlrc1,Not_3UTR,mmu-miR-378d,FALSE,0
Gm13279,Not_3UTR,mmu-miR-378d,FALSE,0
Sec13,Not_3UTR,mmu-miR-378d,FALSE,0
Fam204a,Not_3UTR,mmu-miR-378d,FALSE,0
Det1,Not_3UTR,mmu-miR-378d,FALSE,0
Ppp1r3g,Not_3UTR,mmu-miR-378d,FALSE,0
Caskin1,Not_3UTR,mmu-miR-378d,FALSE,0
B3gnt2,Not_3UTR,mmu-miR-378d,FALSE,0
Asb14,Not_3UTR,mmu-miR-378d,FALSE,0
Kcnip1,Not_3UTR,mmu-miR-378d,FALSE,0
Abca16,Not_3UTR,mmu-miR-378d,FALSE,0
Crygd,Not_3UTR,mmu-miR-378d,FALSE,0
H2-M5,Not_3UTR,mmu-miR-378d,FALSE,0
Dntt,Not_3UTR,mmu-miR-378d,FALSE,0
Sars,Not_3UTR,mmu-miR-378d,FALSE,8
Ldlrap1,Not_3UTR,mmu-miR-378d,FALSE,0
Zfp942,Not_3UTR,mmu-miR-378d,FALSE,0
