Gene,Location,miR,Targetscan,Sum
Ltn1,Not_3UTR,mmu-miR-451a,FALSE,10
Acsl6,Not_3UTR,mmu-miR-451a,FALSE,0
Gm4836,Not_3UTR,mmu-miR-451a,FALSE,0
Adam9,Not_3UTR,mmu-miR-451a,FALSE,0
Atad2,Not_3UTR,mmu-miR-451a,FALSE,0
3110002H16Rik,Not_3UTR,mmu-miR-451a,FALSE,0
Dars,Not_3UTR,mmu-miR-451a,FALSE,0
L3mbtl3,Not_3UTR,mmu-miR-451a,FALSE,0
Cep250,Not_3UTR,mmu-miR-451a,FALSE,0
Cdh7,Not_3UTR,mmu-miR-451a,FALSE,0
Cylc2,Not_3UTR,mmu-miR-451a,FALSE,0
Adamts4,Not_3UTR,mmu-miR-451a,FALSE,0
Exosc2,Not_3UTR,mmu-miR-451a,FALSE,0
Erf,Not_3UTR,mmu-miR-451a,FALSE,3
4921513I03Rik,Not_3UTR,mmu-miR-451a,FALSE,0
Mief2,Not_3UTR,mmu-miR-451a,FALSE,0
2210408I21Rik,Not_3UTR,mmu-miR-451a,FALSE,1
P4ha2,Not_3UTR,mmu-miR-451a,FALSE,0
A830019L24Rik,Not_3UTR,mmu-miR-451a,FALSE,0
Dnah7a,Not_3UTR,mmu-miR-451a,FALSE,0
Cep126,Not_3UTR,mmu-miR-451a,FALSE,0
Asb14,Not_3UTR,mmu-miR-451a,FALSE,0
4732416N19Rik,Not_3UTR,mmu-miR-451a,FALSE,0
Cutal,Not_3UTR,mmu-miR-451a,FALSE,0
A630020A06,Not_3UTR,mmu-miR-451a,FALSE,0
Gorasp2,Not_3UTR,mmu-miR-451a,FALSE,0
Clec4d,Not_3UTR,mmu-miR-451a,FALSE,0
Fgf21,Not_3UTR,mmu-miR-451a,FALSE,0
Hist1h3g,Not_3UTR,mmu-miR-451a,FALSE,92
Megf8,Not_3UTR,mmu-miR-451a,FALSE,0
Cebpg,Not_3UTR,mmu-miR-451a,FALSE,0
Pask,Not_3UTR,mmu-miR-451a,FALSE,0
Bcor,Not_3UTR,mmu-miR-451a,FALSE,0
Helt,Not_3UTR,mmu-miR-451a,FALSE,0
Bdh2,Not_3UTR,mmu-miR-451a,FALSE,0
Cep131,Not_3UTR,mmu-miR-451a,FALSE,0
Cd40lg,Not_3UTR,mmu-miR-451a,FALSE,0
Coil,Not_3UTR,mmu-miR-451a,FALSE,0
Fam185a,Not_3UTR,mmu-miR-451a,FALSE,0
Arhgap36,Not_3UTR,mmu-miR-451a,FALSE,0
Aldh1l2,Not_3UTR,mmu-miR-451a,FALSE,0
Kat6a,Not_3UTR,mmu-miR-451a,FALSE,0
4930578N18Rik,Not_3UTR,mmu-miR-451a,FALSE,0
