Gene,Location,miR,Targetscan,Sum
Iqck,Not_3UTR,mmu-miR-451b,FALSE,0
Dio2,Not_3UTR,mmu-miR-451b,FALSE,0
Gm5868,Not_3UTR,mmu-miR-451b,FALSE,0
Clca1,Not_3UTR,mmu-miR-451b,FALSE,0
Dis3l,Not_3UTR,mmu-miR-451b,FALSE,0
Atp8b5,Not_3UTR,mmu-miR-451b,FALSE,0
9830132P13Rik,Not_3UTR,mmu-miR-451b,FALSE,1
5730559C18Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Zpr1,Not_3UTR,mmu-miR-451b,FALSE,3
Stra6,Not_3UTR,mmu-miR-451b,FALSE,0
Cd247,Not_3UTR,mmu-miR-451b,FALSE,0
Alx1,Not_3UTR,mmu-miR-451b,FALSE,0
Ggcx,Not_3UTR,mmu-miR-451b,FALSE,0
Gm10512,Not_3UTR,mmu-miR-451b,FALSE,0
Mical2,Not_3UTR,mmu-miR-451b,FALSE,0
Erg,Not_3UTR,mmu-miR-451b,FALSE,0
Cacna1g,Not_3UTR,mmu-miR-451b,FALSE,3
8430422H06Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Mfng,Not_3UTR,mmu-miR-451b,FALSE,0
Arhgap21,Not_3UTR,mmu-miR-451b,FALSE,13
Avpr1b,Not_3UTR,mmu-miR-451b,FALSE,0
Hdhd5,Not_3UTR,mmu-miR-451b,FALSE,0
H2al1g,Not_3UTR,mmu-miR-451b,FALSE,0
Ube4b,Not_3UTR,mmu-miR-451b,FALSE,3
Htr2c,Not_3UTR,mmu-miR-451b,FALSE,0
Galnt16,Not_3UTR,mmu-miR-451b,FALSE,0
Fut4-ps1,Not_3UTR,mmu-miR-451b,FALSE,0
Esco2,Not_3UTR,mmu-miR-451b,FALSE,1
Lrig3,Not_3UTR,mmu-miR-451b,FALSE,0
Akap2,Not_3UTR,mmu-miR-451b,FALSE,0
Dytn,Not_3UTR,mmu-miR-451b,FALSE,0
Olfr1249,Not_3UTR,mmu-miR-451b,FALSE,0
Pcyt2,Not_3UTR,mmu-miR-451b,FALSE,0
Gm10432,Not_3UTR,mmu-miR-451b,FALSE,0
Ppp1r3g,Not_3UTR,mmu-miR-451b,FALSE,0
Arhgdia,Not_3UTR,mmu-miR-451b,FALSE,1
Gm16938,Not_3UTR,mmu-miR-451b,FALSE,0
Tdrd7,Not_3UTR,mmu-miR-451b,FALSE,0
4933424G05Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Gbp4,Not_3UTR,mmu-miR-451b,FALSE,0
Hsd11b1,Not_3UTR,mmu-miR-451b,FALSE,7
Prl2c4,Not_3UTR,mmu-miR-451b,FALSE,0
5830411N06Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Ccdc181,Not_3UTR,mmu-miR-451b,FALSE,0
Hipk1,Not_3UTR,mmu-miR-451b,FALSE,1
4930452B06Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Tmx2,Not_3UTR,mmu-miR-451b,FALSE,0
Pld2,Not_3UTR,mmu-miR-451b,FALSE,0
1700125G22Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Aknad1,Not_3UTR,mmu-miR-451b,FALSE,0
C1d,Not_3UTR,mmu-miR-451b,FALSE,0
Gm32856,Not_3UTR,mmu-miR-451b,FALSE,0
A730036I17Rik,Not_3UTR,mmu-miR-451b,FALSE,0
0610038B21Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Gm10400,Not_3UTR,mmu-miR-451b,FALSE,0
Rassf9,Not_3UTR,mmu-miR-451b,FALSE,0
Cntnap5b,Not_3UTR,mmu-miR-451b,FALSE,0
Gabrb3,Not_3UTR,mmu-miR-451b,FALSE,0
Srsf6,Not_3UTR,mmu-miR-451b,FALSE,1
Noct,Not_3UTR,mmu-miR-451b,FALSE,0
Dkkl1,Not_3UTR,mmu-miR-451b,FALSE,0
Dhx37,Not_3UTR,mmu-miR-451b,FALSE,0
1700001K19Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Fat4,Not_3UTR,mmu-miR-451b,FALSE,0
Hcrtr2,Not_3UTR,mmu-miR-451b,FALSE,0
Gsdmc2,Not_3UTR,mmu-miR-451b,FALSE,0
Adgrf1,Not_3UTR,mmu-miR-451b,FALSE,0
Col4a3bp,Not_3UTR,mmu-miR-451b,FALSE,0
Cd300a,Not_3UTR,mmu-miR-451b,FALSE,0
Cpsf1,Not_3UTR,mmu-miR-451b,FALSE,0
Tmem175,Not_3UTR,mmu-miR-451b,FALSE,0
Ccser1,Not_3UTR,mmu-miR-451b,FALSE,1
Sulf1,Not_3UTR,mmu-miR-451b,FALSE,0
Oaz1,Not_3UTR,mmu-miR-451b,FALSE,0
Entpd8,Not_3UTR,mmu-miR-451b,FALSE,0
A2m,Not_3UTR,mmu-miR-451b,FALSE,0
Foxg1,Not_3UTR,mmu-miR-451b,FALSE,0
Atp1a4,Not_3UTR,mmu-miR-451b,FALSE,0
Actl9,Not_3UTR,mmu-miR-451b,FALSE,0
Col4a3,Not_3UTR,mmu-miR-451b,FALSE,0
Ghrh,Not_3UTR,mmu-miR-451b,FALSE,0
Akna,Not_3UTR,mmu-miR-451b,FALSE,44
Hymai,Not_3UTR,mmu-miR-451b,FALSE,0
Antxr2,Not_3UTR,mmu-miR-451b,FALSE,0
Cubn,Not_3UTR,mmu-miR-451b,FALSE,0
A930012L18Rik,Not_3UTR,mmu-miR-451b,FALSE,0
1700034J05Rik,Not_3UTR,mmu-miR-451b,FALSE,5
Arhgef40,Not_3UTR,mmu-miR-451b,FALSE,1
Gpsm1,Not_3UTR,mmu-miR-451b,FALSE,0
Mkl1,Not_3UTR,mmu-miR-451b,FALSE,9
C630043F03Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Celrr,Not_3UTR,mmu-miR-451b,FALSE,0
D130020L05Rik,Not_3UTR,mmu-miR-451b,FALSE,0
1700003M07Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Nkg7,Not_3UTR,mmu-miR-451b,FALSE,0
Gm19466,Not_3UTR,mmu-miR-451b,FALSE,0
2900005J15Rik,Not_3UTR,mmu-miR-451b,FALSE,0
Gm3286,Not_3UTR,mmu-miR-451b,FALSE,0
Ccdc130,Not_3UTR,mmu-miR-451b,FALSE,0
Slfn8,Not_3UTR,mmu-miR-451b,FALSE,1
Coro1c,Not_3UTR,mmu-miR-451b,FALSE,12
Ccdc185,Not_3UTR,mmu-miR-451b,FALSE,0
