Gene,Location,miR,Targetscan,Sum
Cyp3a16,Not_3UTR,mmu-miR-466g,FALSE,0
Pcdhb9,Not_3UTR,mmu-miR-466g,FALSE,0
Abca16,Not_3UTR,mmu-miR-466g,FALSE,0
Vmn2r113,Not_3UTR,mmu-miR-466g,FALSE,0
Csmd3,Not_3UTR,mmu-miR-466g,FALSE,0
2810471M01Rik,Not_3UTR,mmu-miR-466g,FALSE,0
4933404K08Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Dmxl2,Not_3UTR,mmu-miR-466g,FALSE,0
1300002E11Rik,Not_3UTR,mmu-miR-466g,FALSE,1
Elavl4,Not_3UTR,mmu-miR-466g,FALSE,0
Acox2,Not_3UTR,mmu-miR-466g,FALSE,0
Erbb2,Not_3UTR,mmu-miR-466g,FALSE,0
Ctr9,Not_3UTR,mmu-miR-466g,FALSE,9
Olfr507,Not_3UTR,mmu-miR-466g,FALSE,0
Man2b2,Not_3UTR,mmu-miR-466g,FALSE,0
Map3k4,Not_3UTR,mmu-miR-466g,FALSE,0
Ankk1,Not_3UTR,mmu-miR-466g,FALSE,0
A730046J19Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Prss12,Not_3UTR,mmu-miR-466g,FALSE,2
Scn2a,Not_3UTR,mmu-miR-466g,FALSE,0
D130020L05Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Calcr,Not_3UTR,mmu-miR-466g,FALSE,0
Gm3002,Not_3UTR,mmu-miR-466g,FALSE,0
2610507B11Rik,Not_3UTR,mmu-miR-466g,FALSE,1
Gpr101,Not_3UTR,mmu-miR-466g,FALSE,0
Cln6,Not_3UTR,mmu-miR-466g,FALSE,0
Atp13a4,Not_3UTR,mmu-miR-466g,FALSE,0
Stox2,Not_3UTR,mmu-miR-466g,FALSE,0
1300017J02Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Inf2,Not_3UTR,mmu-miR-466g,FALSE,1
0610039K10Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Ear2,Not_3UTR,mmu-miR-466g,FALSE,0
Olfr1501,Not_3UTR,mmu-miR-466g,FALSE,0
1700009N14Rik,Not_3UTR,mmu-miR-466g,FALSE,1
Dnase2b,Not_3UTR,mmu-miR-466g,FALSE,0
Dnah8,Not_3UTR,mmu-miR-466g,FALSE,0
Hcfc1,Not_3UTR,mmu-miR-466g,FALSE,0
Prss43,Not_3UTR,mmu-miR-466g,FALSE,0
Psmc1,Not_3UTR,mmu-miR-466g,FALSE,3
Abcc2,Not_3UTR,mmu-miR-466g,FALSE,0
Rab36,Not_3UTR,mmu-miR-466g,FALSE,0
Itpkb,Not_3UTR,mmu-miR-466g,FALSE,14
Agbl1,Not_3UTR,mmu-miR-466g,FALSE,0
1600029I14Rik,Not_3UTR,mmu-miR-466g,FALSE,1
Akap5,Not_3UTR,mmu-miR-466g,FALSE,0
Ino80dos,Not_3UTR,mmu-miR-466g,FALSE,0
1700001J11Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Gm21943,Not_3UTR,mmu-miR-466g,FALSE,0
1700006A11Rik,Not_3UTR,mmu-miR-466g,FALSE,0
1500012K07Rik,Not_3UTR,mmu-miR-466g,FALSE,0
2810454H06Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Ackr1,Not_3UTR,mmu-miR-466g,FALSE,0
Dhh,Not_3UTR,mmu-miR-466g,FALSE,1
Mief1,Not_3UTR,mmu-miR-466g,FALSE,0
Cacna1g,Not_3UTR,mmu-miR-466g,FALSE,0
Tfam,Not_3UTR,mmu-miR-466g,FALSE,0
Dock3,Not_3UTR,mmu-miR-466g,FALSE,0
Asnsd1,Not_3UTR,mmu-miR-466g,FALSE,0
Lpar4,Not_3UTR,mmu-miR-466g,FALSE,0
Immp1l,Not_3UTR,mmu-miR-466g,FALSE,0
Dnajc9,Not_3UTR,mmu-miR-466g,FALSE,9
Ptdss1,Not_3UTR,mmu-miR-466g,FALSE,0
Atp11c,Not_3UTR,mmu-miR-466g,FALSE,1
2210404E10Rik,Not_3UTR,mmu-miR-466g,FALSE,0
Map7d3,Not_3UTR,mmu-miR-466g,FALSE,0
Zfp516,Not_3UTR,mmu-miR-466g,FALSE,0
2310069G16Rik,Not_3UTR,mmu-miR-466g,FALSE,0
