Gene,Location,miR,Targetscan,Sum
Mogat2,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gm15881,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Skint5,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4930415F15Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Aurkc,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Olfr1447,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Rbm3os,Not_3UTR,mmu-miR-466i-3p,FALSE,11
4930480K15Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Focad,Not_3UTR,mmu-miR-466i-3p,FALSE,4
Dst,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Dlgap3,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4930412B13Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Ppara,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Cox6b1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Il1f10,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Birc3,Not_3UTR,mmu-miR-466i-3p,FALSE,7
Cyp2u1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Lef1,Not_3UTR,mmu-miR-466i-3p,FALSE,48
Hmgb1-rs17,Not_3UTR,mmu-miR-466i-3p,FALSE,5
Slc35b1,Not_3UTR,mmu-miR-466i-3p,FALSE,22
1300017J02Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Olfr282,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Ccdc187,Not_3UTR,mmu-miR-466i-3p,FALSE,0
1700010I14Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
1700013G24Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Pla2g4a,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Aup1,Not_3UTR,mmu-miR-466i-3p,FALSE,32
Heatr1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Coasy,Not_3UTR,mmu-miR-466i-3p,FALSE,3
Gm12171,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Lrrc10,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4831440E17Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gm13752,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4930474G06Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gm19557,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4931431F19Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
2810474O19Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,10
Gzmb,Not_3UTR,mmu-miR-466i-3p,FALSE,41
Fignl1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Pcid2,Not_3UTR,mmu-miR-466i-3p,FALSE,1
Atp5j,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Epha7,Not_3UTR,mmu-miR-466i-3p,FALSE,1
Acr,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Olfr656,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Churc1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
2810013P06Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
2700081O15Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Zcchc16,Not_3UTR,mmu-miR-466i-3p,FALSE,0
5930438M14Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
D030040B21Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Etaa1,Not_3UTR,mmu-miR-466i-3p,FALSE,1
Acot9,Not_3UTR,mmu-miR-466i-3p,FALSE,0
2810442N19Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Zfp942,Not_3UTR,mmu-miR-466i-3p,FALSE,2
2900092D14Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
1700006A11Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gm10804,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Fbxo21,Not_3UTR,mmu-miR-466i-3p,FALSE,1
Ar,Not_3UTR,mmu-miR-466i-3p,FALSE,1
Car5a,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Adam6a,Not_3UTR,mmu-miR-466i-3p,FALSE,0
A630020A06,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Hectd1,Not_3UTR,mmu-miR-466i-3p,FALSE,1
Apol7d,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Lincred1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gm12018,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4930419G24Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4921511M17Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
B330016D10Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Dnah11,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Trp73,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gdpd2,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Col4a6,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Olfr1342,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4930480K23Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,3
Gm20362,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gtf3c1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Pim3,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Cd3d,Not_3UTR,mmu-miR-466i-3p,FALSE,23
Alkbh3,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Arl2bp,Not_3UTR,mmu-miR-466i-3p,FALSE,8
Pms1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4933407G14Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
E030024N20Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,22
4930593A02Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Cfh,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Dreh,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Slc27a1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gzmc,Not_3UTR,mmu-miR-466i-3p,FALSE,3
Oplah,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Cnksr2,Not_3UTR,mmu-miR-466i-3p,FALSE,0
4933424G05Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
1810065E05Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Aqp7,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Vmn2r98,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Neu2,Not_3UTR,mmu-miR-466i-3p,FALSE,0
5430402O13Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,1
C1qtnf4,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Herc1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
1600029O15Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,0
5830417I10Rik,Not_3UTR,mmu-miR-466i-3p,FALSE,1
Aplp2,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Gm10024,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Bhlhb9,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Vmn2r122,Not_3UTR,mmu-miR-466i-3p,FALSE,0
Ext1,Not_3UTR,mmu-miR-466i-3p,FALSE,0
