Gene,Location,miR,Targetscan,Sum
Maged2,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Spg11,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Tnfrsf10b,Not_3UTR,mmu-miR-466n-3p,FALSE,0
1300002E11Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,2
Kcns3,Not_3UTR,mmu-miR-466n-3p,FALSE,0
4921511C20Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Bola3,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Gm20751,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Baat,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Clcf1,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Amy2a5,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Lum,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Olfr1256,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Olfr1137,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Crebbp,Not_3UTR,mmu-miR-466n-3p,FALSE,1
Lig3,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Gm9962,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Amy2a2,Not_3UTR,mmu-miR-466n-3p,FALSE,0
4932438H23Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Ces2h,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Gm4788,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Olfr1161,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Phka1,Not_3UTR,mmu-miR-466n-3p,FALSE,0
A330023F24Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Tas2r131,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Olfr799,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Flg2,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Pex26,Not_3UTR,mmu-miR-466n-3p,FALSE,0
A630020A06,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Zim1,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Mefv,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Bckdhb,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Fam163a,Not_3UTR,mmu-miR-466n-3p,FALSE,0
2900092D14Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Lrch3,Not_3UTR,mmu-miR-466n-3p,FALSE,1
9530059O14Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Olfr558,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Cecr2,Not_3UTR,mmu-miR-466n-3p,FALSE,0
2010111I01Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Nemp2,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Galr3,Not_3UTR,mmu-miR-466n-3p,FALSE,2
Gpi1,Not_3UTR,mmu-miR-466n-3p,FALSE,0
2610507B11Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,10
Abce1,Not_3UTR,mmu-miR-466n-3p,FALSE,13
Catsperg2,Not_3UTR,mmu-miR-466n-3p,FALSE,0
4930583K01Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
Olfr961,Not_3UTR,mmu-miR-466n-3p,FALSE,0
1810055G02Rik,Not_3UTR,mmu-miR-466n-3p,FALSE,0
