Gene,Location,miR,Targetscan,Sum
Arfgef2,Not_3UTR,mmu-miR-466p-5p,FALSE,0
2700089I24Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Acadl,Not_3UTR,mmu-miR-466p-5p,FALSE,13
9130011E15Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
A930017M01Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Mmp10,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Dennd4c,Not_3UTR,mmu-miR-466p-5p,FALSE,2
Zfp687,Not_3UTR,mmu-miR-466p-5p,FALSE,7
Sorcs2,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4933402N22Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Mpo,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Arl5a,Not_3UTR,mmu-miR-466p-5p,FALSE,14
Fam227b,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930526L06Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Lrriq1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
2700046G09Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Melk,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Abcc3,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Havcr1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Tenm4,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Cnot1,Not_3UTR,mmu-miR-466p-5p,FALSE,8
8430429K09Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,1
Lgr5,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4921507P07Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Lefty1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
1500009C09Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930467D21Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
D5Ertd579e,Not_3UTR,mmu-miR-466p-5p,FALSE,1
Apc2,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Parp10,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Ctcflos,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Ice1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Adgra3,Not_3UTR,mmu-miR-466p-5p,FALSE,0
1700017L05Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Dmbt1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Crnkl1,Not_3UTR,mmu-miR-466p-5p,FALSE,1
Ccdc150,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Inha,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Ttc29,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Pomgnt1,Not_3UTR,mmu-miR-466p-5p,FALSE,10
Crybg1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
1110028F11Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Gm4890,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Akr1c21,Not_3UTR,mmu-miR-466p-5p,FALSE,0
D730048I06Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Arap2,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Cc2d2a,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Ctnna2,Not_3UTR,mmu-miR-466p-5p,FALSE,0
1700051A21Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
2510039O18Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,11
2410012E07Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Arap1,Not_3UTR,mmu-miR-466p-5p,FALSE,4
Aco2,Not_3UTR,mmu-miR-466p-5p,FALSE,1
Dtwd1,Not_3UTR,mmu-miR-466p-5p,FALSE,2
Rgs19,Not_3UTR,mmu-miR-466p-5p,FALSE,15
Clca4b,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Zdhhc6,Not_3UTR,mmu-miR-466p-5p,FALSE,0
F830045P16Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Klrb1b,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Gsdma,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Hivep1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Dnaaf1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Prkca,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Rcan1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4921531C22Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Dnase2b,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930404H11Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930407I19Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Adam25,Not_3UTR,mmu-miR-466p-5p,FALSE,1
1700031M16Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Col27a1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Xpnpep2,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930406D18Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930453L07Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Olfr860,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Kxd1,Not_3UTR,mmu-miR-466p-5p,FALSE,3
4930477N07Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930481A15Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930555B11Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
4930488B22Rik,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Fzr1,Not_3UTR,mmu-miR-466p-5p,FALSE,1
Zfp462,Not_3UTR,mmu-miR-466p-5p,FALSE,0
Clhc1,Not_3UTR,mmu-miR-466p-5p,FALSE,0
