Gene,Location,miR,Targetscan,Sum
Acy1,Not_3UTR,mmu-miR-466q,FALSE,0
Thada,Not_3UTR,mmu-miR-466q,FALSE,3
D17H6S56E-5,Not_3UTR,mmu-miR-466q,FALSE,59
4930427A07Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Zfp41,Not_3UTR,mmu-miR-466q,FALSE,0
Amy1,Not_3UTR,mmu-miR-466q,FALSE,0
Dner,Not_3UTR,mmu-miR-466q,FALSE,0
Olfr1484,Not_3UTR,mmu-miR-466q,FALSE,0
Abca15,Not_3UTR,mmu-miR-466q,FALSE,0
Kdm5c,Not_3UTR,mmu-miR-466q,FALSE,0
Fam49b,Not_3UTR,mmu-miR-466q,FALSE,1
Src,Not_3UTR,mmu-miR-466q,FALSE,0
Alg9,Not_3UTR,mmu-miR-466q,FALSE,0
Galnt5,Not_3UTR,mmu-miR-466q,FALSE,0
Slc46a2,Not_3UTR,mmu-miR-466q,FALSE,0
4930539M17Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Oas3,Not_3UTR,mmu-miR-466q,FALSE,10
Mmp12,Not_3UTR,mmu-miR-466q,FALSE,0
Aacs,Not_3UTR,mmu-miR-466q,FALSE,0
Chd5,Not_3UTR,mmu-miR-466q,FALSE,1
4932415M13Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Ifit3b,Not_3UTR,mmu-miR-466q,FALSE,0
Tbc1d5,Not_3UTR,mmu-miR-466q,FALSE,0
2410017I17Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Vmn1r63,Not_3UTR,mmu-miR-466q,FALSE,0
Gabrr2,Not_3UTR,mmu-miR-466q,FALSE,0
Tbc1d8,Not_3UTR,mmu-miR-466q,FALSE,1
Slc24a1,Not_3UTR,mmu-miR-466q,FALSE,0
Gfod1,Not_3UTR,mmu-miR-466q,FALSE,1
Mfsd6,Not_3UTR,mmu-miR-466q,FALSE,2
BB019430,Not_3UTR,mmu-miR-466q,FALSE,0
Dbn1,Not_3UTR,mmu-miR-466q,FALSE,0
Muc5ac,Not_3UTR,mmu-miR-466q,FALSE,0
Lama1,Not_3UTR,mmu-miR-466q,FALSE,0
Spag4,Not_3UTR,mmu-miR-466q,FALSE,0
Hydin,Not_3UTR,mmu-miR-466q,FALSE,0
Rbl1,Not_3UTR,mmu-miR-466q,FALSE,0
Ankef1,Not_3UTR,mmu-miR-466q,FALSE,0
A330069E16Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Ccdc146,Not_3UTR,mmu-miR-466q,FALSE,0
Luc7l2,Not_3UTR,mmu-miR-466q,FALSE,14
Acap2,Not_3UTR,mmu-miR-466q,FALSE,1
Gm4763,Not_3UTR,mmu-miR-466q,FALSE,0
Nbea,Not_3UTR,mmu-miR-466q,FALSE,0
Gpsm1,Not_3UTR,mmu-miR-466q,FALSE,0
Ccdc129,Not_3UTR,mmu-miR-466q,FALSE,0
Atr,Not_3UTR,mmu-miR-466q,FALSE,5
4930417O22Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Pigs,Not_3UTR,mmu-miR-466q,FALSE,0
1110015O18Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Lrfn5,Not_3UTR,mmu-miR-466q,FALSE,0
Gkn1,Not_3UTR,mmu-miR-466q,FALSE,0
Ephb3,Not_3UTR,mmu-miR-466q,FALSE,0
Got1l1,Not_3UTR,mmu-miR-466q,FALSE,0
Gm5334,Not_3UTR,mmu-miR-466q,FALSE,0
Bcl2,Not_3UTR,mmu-miR-466q,FALSE,16
Ankrd9,Not_3UTR,mmu-miR-466q,FALSE,0
Insm2,Not_3UTR,mmu-miR-466q,FALSE,0
Fam35a,Not_3UTR,mmu-miR-466q,FALSE,0
Tnfrsf8,Not_3UTR,mmu-miR-466q,FALSE,0
1500012K07Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Itgb1,Not_3UTR,mmu-miR-466q,FALSE,4
Zcchc3,Not_3UTR,mmu-miR-466q,FALSE,0
Acsbg2,Not_3UTR,mmu-miR-466q,FALSE,0
Ceacam5,Not_3UTR,mmu-miR-466q,FALSE,1
4930529C04Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Tspan31,Not_3UTR,mmu-miR-466q,FALSE,0
Armc9,Not_3UTR,mmu-miR-466q,FALSE,0
Abcb11,Not_3UTR,mmu-miR-466q,FALSE,0
Gm10100,Not_3UTR,mmu-miR-466q,FALSE,0
1700030M09Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Dlgap3,Not_3UTR,mmu-miR-466q,FALSE,0
A430046D13Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Amotl2,Not_3UTR,mmu-miR-466q,FALSE,0
1700072I22Rik,Not_3UTR,mmu-miR-466q,FALSE,0
Fads3,Not_3UTR,mmu-miR-466q,FALSE,0
Vmn2r118,Not_3UTR,mmu-miR-466q,FALSE,0
Dhx30,Not_3UTR,mmu-miR-466q,FALSE,0
Ccar1,Not_3UTR,mmu-miR-466q,FALSE,0
Ifit1,Not_3UTR,mmu-miR-466q,FALSE,0
Rcl1,Not_3UTR,mmu-miR-466q,FALSE,0
Cd93,Not_3UTR,mmu-miR-466q,FALSE,0
Ank3,Not_3UTR,mmu-miR-466q,FALSE,0
