Gene,Location,miR,Targetscan,Sum
Myom1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
4921534H16Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Farp1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Camta2,Not_3UTR,mmu-miR-467e-5p,FALSE,1
Gm4922,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Cnot10,Not_3UTR,mmu-miR-467e-5p,FALSE,42
Gtdc1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Gm20865,Not_3UTR,mmu-miR-467e-5p,FALSE,0
1700047A11Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,1
Tet1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Supt7l,Not_3UTR,mmu-miR-467e-5p,FALSE,25
Olfr394,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Nxpe2,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Chd9,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Cryba1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Bicra,Not_3UTR,mmu-miR-467e-5p,FALSE,1
4933436I01Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Aqp12,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Lrriq3,Not_3UTR,mmu-miR-467e-5p,FALSE,0
1700073E17Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Awat1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Gm17644,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Sirpb1b,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Dthd1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Itga2,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Ikbkap,Not_3UTR,mmu-miR-467e-5p,FALSE,18
Hes2,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Zfp131,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Ammecr1l,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Lin37,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Rnf220,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Anapc2,Not_3UTR,mmu-miR-467e-5p,FALSE,4
Vmn2r14,Not_3UTR,mmu-miR-467e-5p,FALSE,0
0610039H22Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,1
Alpi,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Arhgap4,Not_3UTR,mmu-miR-467e-5p,FALSE,1
Grpr,Not_3UTR,mmu-miR-467e-5p,FALSE,0
4930463O16Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
1700013G24Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Mcmdc2,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Gm20257,Not_3UTR,mmu-miR-467e-5p,FALSE,34
4930451G09Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Abcc9,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Tspoap1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Tro,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Lama5,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Zfp52,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Maml3,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Olfr735,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Jtb,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Krit1,Not_3UTR,mmu-miR-467e-5p,FALSE,36
Gm20815,Not_3UTR,mmu-miR-467e-5p,FALSE,0
9530059O14Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Prr12,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Cep192,Not_3UTR,mmu-miR-467e-5p,FALSE,1
Vmn1r84,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Cadps,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Gm10433,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Slc10a1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Dbil5,Not_3UTR,mmu-miR-467e-5p,FALSE,0
2700089I24Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
2810004N23Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Arfip1,Not_3UTR,mmu-miR-467e-5p,FALSE,11
Ackr4,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Olfr710,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Gm12185,Not_3UTR,mmu-miR-467e-5p,FALSE,1
Efcab1,Not_3UTR,mmu-miR-467e-5p,FALSE,0
Ppp2r3a,Not_3UTR,mmu-miR-467e-5p,FALSE,0
5430402O13Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
4930415L06Rik,Not_3UTR,mmu-miR-467e-5p,FALSE,0
