Gene,Location,miR,Targetscan,Sum
Gmpr2,Not_3UTR,mmu-miR-669j,FALSE,0
Rtn3,Not_3UTR,mmu-miR-669j,FALSE,0
4933408J17Rik,Not_3UTR,mmu-miR-669j,FALSE,0
Atp6ap1l,Not_3UTR,mmu-miR-669j,FALSE,0
2610524H06Rik,Not_3UTR,mmu-miR-669j,FALSE,14
Dnajc13,Not_3UTR,mmu-miR-669j,FALSE,7
4933405O20Rik,Not_3UTR,mmu-miR-669j,FALSE,0
Fndc3b,Not_3UTR,mmu-miR-669j,FALSE,0
Aspm,Not_3UTR,mmu-miR-669j,FALSE,0
Fbxl13,Not_3UTR,mmu-miR-669j,FALSE,0
Chchd7,Not_3UTR,mmu-miR-669j,FALSE,0
Hsd17b4,Not_3UTR,mmu-miR-669j,FALSE,19
Cfap46,Not_3UTR,mmu-miR-669j,FALSE,0
Plxnd1,Not_3UTR,mmu-miR-669j,FALSE,0
Grm8,Not_3UTR,mmu-miR-669j,FALSE,0
Acad12,Not_3UTR,mmu-miR-669j,FALSE,0
Vmn1r86,Not_3UTR,mmu-miR-669j,FALSE,0
Frmpd4,Not_3UTR,mmu-miR-669j,FALSE,0
Golga7,Not_3UTR,mmu-miR-669j,FALSE,4
Qsox1,Not_3UTR,mmu-miR-669j,FALSE,0
5830417I10Rik,Not_3UTR,mmu-miR-669j,FALSE,0
AA792892,Not_3UTR,mmu-miR-669j,FALSE,0
Dnajb14,Not_3UTR,mmu-miR-669j,FALSE,0
Cldn16,Not_3UTR,mmu-miR-669j,FALSE,0
Aup1,Not_3UTR,mmu-miR-669j,FALSE,0
Derl1,Not_3UTR,mmu-miR-669j,FALSE,0
Dnajc1,Not_3UTR,mmu-miR-669j,FALSE,13
4930479D17Rik,Not_3UTR,mmu-miR-669j,FALSE,0
Gm12830,Not_3UTR,mmu-miR-669j,FALSE,0
Adrb3,Not_3UTR,mmu-miR-669j,FALSE,0
Gfod2,Not_3UTR,mmu-miR-669j,FALSE,0
4931419H13Rik,Not_3UTR,mmu-miR-669j,FALSE,0
1810024B03Rik,Not_3UTR,mmu-miR-669j,FALSE,0
9530053A07Rik,Not_3UTR,mmu-miR-669j,FALSE,0
Morf4l1b,Not_3UTR,mmu-miR-669j,FALSE,8
2010106E10Rik,Not_3UTR,mmu-miR-669j,FALSE,0
Gm906,Not_3UTR,mmu-miR-669j,FALSE,0
Abhd16b,Not_3UTR,mmu-miR-669j,FALSE,0
Bmpr1b,Not_3UTR,mmu-miR-669j,FALSE,0
5930438M14Rik,Not_3UTR,mmu-miR-669j,FALSE,0
Dmgdh,Not_3UTR,mmu-miR-669j,FALSE,0
Cep72,Not_3UTR,mmu-miR-669j,FALSE,0
Pkhd1l1,Not_3UTR,mmu-miR-669j,FALSE,0
Cyb5r4,Not_3UTR,mmu-miR-669j,FALSE,0
Rps6kb2,Not_3UTR,mmu-miR-669j,FALSE,0
