Gene,Location,miR,Targetscan,Sum
Gabra5,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Grm5,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Bank1,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Olfr361,Not_3UTR,mmu-miR-669l-5p,FALSE,1
Col28a1,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Actr3,Not_3UTR,mmu-miR-669l-5p,FALSE,95
Alpl,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Adgrl1,Not_3UTR,mmu-miR-669l-5p,FALSE,1
Cep250,Not_3UTR,mmu-miR-669l-5p,FALSE,0
2810049E08Rik,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Adgrf2,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Cd96,Not_3UTR,mmu-miR-669l-5p,FALSE,4
Cpne3,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Abtb2,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Clcn7,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Dmp1,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Txnrd3,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Gtf2h1,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Mbd2,Not_3UTR,mmu-miR-669l-5p,FALSE,11
Dip2a,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Gosr2,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Adcy1,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Zfp784,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Pkp4,Not_3UTR,mmu-miR-669l-5p,FALSE,7
Abca2,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Hsd3b7,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Tmem165,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Ccdc65,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Acaca,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Haspin,Not_3UTR,mmu-miR-669l-5p,FALSE,3
Olfr444,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Tle3,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Zfp936,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Cyp2c37,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Crb1,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Spint1,Not_3UTR,mmu-miR-669l-5p,FALSE,0
4930550C14Rik,Not_3UTR,mmu-miR-669l-5p,FALSE,0
Colgalt1,Not_3UTR,mmu-miR-669l-5p,FALSE,3
Actl10,Not_3UTR,mmu-miR-669l-5p,FALSE,0
