Gene,Location,miR,Targetscan,Sum
Gpr146,Not_3UTR,mmu-miR-669m-5p,FALSE,37
4930571K23Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Dsg2,Not_3UTR,mmu-miR-669m-5p,FALSE,0
C330024D21Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Gm1965,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Dlgap2,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Espl1,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Ephb1,Not_3UTR,mmu-miR-669m-5p,FALSE,1
Msh4,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Abcc9,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Nacc1,Not_3UTR,mmu-miR-669m-5p,FALSE,11
Mccc1os,Not_3UTR,mmu-miR-669m-5p,FALSE,0
2410089E03Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Cdh2,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Vmn2r21,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Abcc3,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Cnnm2,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Ctc1,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Fbxw7,Not_3UTR,mmu-miR-669m-5p,FALSE,11
C130046K22Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Fgf3,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Csn1s2a,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Acpt,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Arsa,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Dhx16,Not_3UTR,mmu-miR-669m-5p,FALSE,1
9530036O11Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
4933407E24Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Klhl42,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Ercc2,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Myh13,Not_3UTR,mmu-miR-669m-5p,FALSE,0
9330151L19Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Map3k5,Not_3UTR,mmu-miR-669m-5p,FALSE,3
Ccdc158,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Mknk1,Not_3UTR,mmu-miR-669m-5p,FALSE,8
Sema4c,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Fam216a,Not_3UTR,mmu-miR-669m-5p,FALSE,3
Cep162,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Gm19668,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Anxa13,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Lima1,Not_3UTR,mmu-miR-669m-5p,FALSE,0
1700086L19Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
C87414,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Pik3c2a,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Acss2,Not_3UTR,mmu-miR-669m-5p,FALSE,0
Klra4,Not_3UTR,mmu-miR-669m-5p,FALSE,0
9230009I02Rik,Not_3UTR,mmu-miR-669m-5p,FALSE,0
