Gene,Location,miR,Targetscan,Sum
Stard6,Not_3UTR,mmu-miR-669n,FALSE,0
Cts8,Not_3UTR,mmu-miR-669n,FALSE,0
4930415F15Rik,Not_3UTR,mmu-miR-669n,FALSE,0
C330027C09Rik,Not_3UTR,mmu-miR-669n,FALSE,7
Itgb8,Not_3UTR,mmu-miR-669n,FALSE,0
Ccdc7b,Not_3UTR,mmu-miR-669n,FALSE,0
Agr2,Not_3UTR,mmu-miR-669n,FALSE,0
B3galnt1,Not_3UTR,mmu-miR-669n,FALSE,1
Suox,Not_3UTR,mmu-miR-669n,FALSE,0
Abcc8,Not_3UTR,mmu-miR-669n,FALSE,0
4930407I10Rik,Not_3UTR,mmu-miR-669n,FALSE,0
5730420D15Rik,Not_3UTR,mmu-miR-669n,FALSE,1
Csf1r,Not_3UTR,mmu-miR-669n,FALSE,0
Dsg3,Not_3UTR,mmu-miR-669n,FALSE,0
Defb18,Not_3UTR,mmu-miR-669n,FALSE,0
Olfr1310,Not_3UTR,mmu-miR-669n,FALSE,4
Abcb11,Not_3UTR,mmu-miR-669n,FALSE,0
Ap3b2,Not_3UTR,mmu-miR-669n,FALSE,0
Rps6,Not_3UTR,mmu-miR-669n,FALSE,22
Cln3,Not_3UTR,mmu-miR-669n,FALSE,0
Epha6,Not_3UTR,mmu-miR-669n,FALSE,0
C130046K22Rik,Not_3UTR,mmu-miR-669n,FALSE,0
1700047M11Rik,Not_3UTR,mmu-miR-669n,FALSE,0
Bbs10,Not_3UTR,mmu-miR-669n,FALSE,0
Ints14,Not_3UTR,mmu-miR-669n,FALSE,0
4930412O13Rik,Not_3UTR,mmu-miR-669n,FALSE,0
Glce,Not_3UTR,mmu-miR-669n,FALSE,2
Ints4,Not_3UTR,mmu-miR-669n,FALSE,0
Gm10697,Not_3UTR,mmu-miR-669n,FALSE,0
Dnah10,Not_3UTR,mmu-miR-669n,FALSE,0
Lrrk1,Not_3UTR,mmu-miR-669n,FALSE,0
Eps15,Not_3UTR,mmu-miR-669n,FALSE,0
Lilr4b,Not_3UTR,mmu-miR-669n,FALSE,27
4933406F09Rik,Not_3UTR,mmu-miR-669n,FALSE,0
Pisd,Not_3UTR,mmu-miR-669n,FALSE,0
Dbpht2,Not_3UTR,mmu-miR-669n,FALSE,0
Lamc3,Not_3UTR,mmu-miR-669n,FALSE,0
