Gene,Location,miR,Targetscan,Sum
Cep350,Not_3UTR,mmu-miR-669o-5p,FALSE,1
Hmgb1-rs17,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Jrkl,Not_3UTR,mmu-miR-669o-5p,FALSE,8
4933411K16Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Lhx1,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Atl2,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Fthl17f,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Btbd35f18,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Diaph1,Not_3UTR,mmu-miR-669o-5p,FALSE,1
LOC215458,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Lacc1,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Epcam,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Ube4a,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Cnga2,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Hdac6,Not_3UTR,mmu-miR-669o-5p,FALSE,2
Blm,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gstm1,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Wdpcp,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Il2rb,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Mamdc2,Not_3UTR,mmu-miR-669o-5p,FALSE,0
2010106E10Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Hgd,Not_3UTR,mmu-miR-669o-5p,FALSE,0
A630023A22Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
9530053A07Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Arl13b,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Smc3,Not_3UTR,mmu-miR-669o-5p,FALSE,4
Exd2,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Usp9x,Not_3UTR,mmu-miR-669o-5p,FALSE,17
Kif21b,Not_3UTR,mmu-miR-669o-5p,FALSE,2
Hc,Not_3UTR,mmu-miR-669o-5p,FALSE,4
Ncf4,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Fn1,Not_3UTR,mmu-miR-669o-5p,FALSE,1
1700017L05Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Olfr1487,Not_3UTR,mmu-miR-669o-5p,FALSE,0
1700016C15Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Sptbn1,Not_3UTR,mmu-miR-669o-5p,FALSE,6
Chat,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gm16497,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Fhitos,Not_3UTR,mmu-miR-669o-5p,FALSE,0
1810034E14Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gm20752,Not_3UTR,mmu-miR-669o-5p,FALSE,0
A330032B11Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
4930430A15Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Bmf,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Eif3l,Not_3UTR,mmu-miR-669o-5p,FALSE,17
Celrr,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Ptpn14,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Angel2,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Mmp15,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gm906,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gm7444,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Asic1,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gls2,Not_3UTR,mmu-miR-669o-5p,FALSE,0
1500026H17Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Dmrt1,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Morc2b,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Atm,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Mep1a,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Atp9a,Not_3UTR,mmu-miR-669o-5p,FALSE,0
1700099I09Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Zfp719,Not_3UTR,mmu-miR-669o-5p,FALSE,3
Akap11,Not_3UTR,mmu-miR-669o-5p,FALSE,6
Cmya5,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Prmt9,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gm12250,Not_3UTR,mmu-miR-669o-5p,FALSE,0
1110015O18Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
A230070E04Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,1
Ace,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Pxk,Not_3UTR,mmu-miR-669o-5p,FALSE,0
2410089E03Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
2700099C18Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Krtap27-1,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Me3,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Dgkd,Not_3UTR,mmu-miR-669o-5p,FALSE,27
Flt4,Not_3UTR,mmu-miR-669o-5p,FALSE,0
4930444G20Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Gfm2,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Alg1,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Lpcat2b,Not_3UTR,mmu-miR-669o-5p,FALSE,0
Olfr727,Not_3UTR,mmu-miR-669o-5p,FALSE,0
4930581F22Rik,Not_3UTR,mmu-miR-669o-5p,FALSE,0
