Gene,Location,miR,Targetscan,Sum
Ice2,Not_3UTR,mmu-miR-706,FALSE,0
AW551984,Not_3UTR,mmu-miR-706,FALSE,0
1700012B07Rik,Not_3UTR,mmu-miR-706,FALSE,0
9630001P10Rik,Not_3UTR,mmu-miR-706,FALSE,0
Itpa,Not_3UTR,mmu-miR-706,FALSE,0
Panct2,Not_3UTR,mmu-miR-706,FALSE,1
6030443J06Rik,Not_3UTR,mmu-miR-706,FALSE,1
2700049A03Rik,Not_3UTR,mmu-miR-706,FALSE,0
Rcbtb2,Not_3UTR,mmu-miR-706,FALSE,0
9330178D15Rik,Not_3UTR,mmu-miR-706,FALSE,0
9030025P20Rik,Not_3UTR,mmu-miR-706,FALSE,0
Ints10,Not_3UTR,mmu-miR-706,FALSE,0
Map3k5,Not_3UTR,mmu-miR-706,FALSE,0
Vmn1r35,Not_3UTR,mmu-miR-706,FALSE,0
Pcdhb21,Not_3UTR,mmu-miR-706,FALSE,0
Gbe1,Not_3UTR,mmu-miR-706,FALSE,0
Vmn1r223,Not_3UTR,mmu-miR-706,FALSE,0
Fcnb,Not_3UTR,mmu-miR-706,FALSE,0
Fam71e2,Not_3UTR,mmu-miR-706,FALSE,0
Hyls1,Not_3UTR,mmu-miR-706,FALSE,0
Cyp2j11,Not_3UTR,mmu-miR-706,FALSE,0
Katnbl1,Not_3UTR,mmu-miR-706,FALSE,0
Hars,Not_3UTR,mmu-miR-706,FALSE,0
Mis18bp1,Not_3UTR,mmu-miR-706,FALSE,0
C1d,Not_3UTR,mmu-miR-706,FALSE,0
Atp13a3,Not_3UTR,mmu-miR-706,FALSE,6
Arsi,Not_3UTR,mmu-miR-706,FALSE,0
Cse1l,Not_3UTR,mmu-miR-706,FALSE,7
Afm,Not_3UTR,mmu-miR-706,FALSE,0
Abcb4,Not_3UTR,mmu-miR-706,FALSE,0
Jmjd1c,Not_3UTR,mmu-miR-706,FALSE,6
Fhit,Not_3UTR,mmu-miR-706,FALSE,0
Tas2r119,Not_3UTR,mmu-miR-706,FALSE,0
4930509K18Rik,Not_3UTR,mmu-miR-706,FALSE,1
Lck,Not_3UTR,mmu-miR-706,FALSE,7
Lrp1,Not_3UTR,mmu-miR-706,FALSE,0
Ythdf1,Not_3UTR,mmu-miR-706,FALSE,1
Il1f10,Not_3UTR,mmu-miR-706,FALSE,0
Ccdc84,Not_3UTR,mmu-miR-706,FALSE,0
Kcnip4,Not_3UTR,mmu-miR-706,FALSE,0
9330117O12Rik,Not_3UTR,mmu-miR-706,FALSE,0
Dnase1l3,Not_3UTR,mmu-miR-706,FALSE,0
Cubn,Not_3UTR,mmu-miR-706,FALSE,2
Ehmt1,Not_3UTR,mmu-miR-706,FALSE,0
9530091C08Rik,Not_3UTR,mmu-miR-706,FALSE,0
Dnajb7,Not_3UTR,mmu-miR-706,FALSE,0
Tbxas1,Not_3UTR,mmu-miR-706,FALSE,0
Immp2l,Not_3UTR,mmu-miR-706,FALSE,0
Gm4890,Not_3UTR,mmu-miR-706,FALSE,0
Gm5420,Not_3UTR,mmu-miR-706,FALSE,0
Aff2,Not_3UTR,mmu-miR-706,FALSE,0
Acsl1,Not_3UTR,mmu-miR-706,FALSE,0
2010111I01Rik,Not_3UTR,mmu-miR-706,FALSE,0
Capns2,Not_3UTR,mmu-miR-706,FALSE,0
Zfp689,Not_3UTR,mmu-miR-706,FALSE,0
Acaca,Not_3UTR,mmu-miR-706,FALSE,0
1110032F04Rik,Not_3UTR,mmu-miR-706,FALSE,0
Naip5,Not_3UTR,mmu-miR-706,FALSE,0
Gsta3,Not_3UTR,mmu-miR-706,FALSE,0
Foxa2,Not_3UTR,mmu-miR-706,FALSE,0
C730036E19Rik,Not_3UTR,mmu-miR-706,FALSE,0
C4a,Not_3UTR,mmu-miR-706,FALSE,0
Nos2,Not_3UTR,mmu-miR-706,FALSE,0
Ppp1r14d,Not_3UTR,mmu-miR-706,FALSE,0
Vmn2r114,Not_3UTR,mmu-miR-706,FALSE,0
Ccdc180,Not_3UTR,mmu-miR-706,FALSE,0
Fbxl21,Not_3UTR,mmu-miR-706,FALSE,0
